INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id
John H. is a retired US Air Force Captain in civilian life and a respected veteran of the Vietnam war. He and his wife, Berta, have a daughter and a grandson, whom he and Bertan have raised to believe that Earth is the only home in the galaxy. But now the young people of South Sudan are rising up against a dictator and his repressive army. John and Bertal go to South Sudan to try to stop them.	The crew of the Enterprise, a Federation ship, is en route to a far-flung colony world when a distress call comes in from a group of five people aboard the space vessel. The captain is John H Roberts, a young man with a heart condition, and his first officer is Berta Lang, a woman with a troubled past.	The world is coming to an end. A new day has dawned. It is time to fight.	It was the end. It was the beginning.	ppl	random	10
"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	"A new world is dawning. The human race is becoming extinct, a plague of zombies has infected all humans and has now turned its attention on Washoe. The only known cure is the creation of a Washoe virus"" and the only known person who can create this virus is Benjamin. Brother and Sister have to save their family and find the cure before the virus can destroy them. Benjamin, in his final attempt to create the virus, has found a mysterious old man in the woods."	She'll save the universe and she'll save all of mankind!	Benjamin has a choice to make. Will he create the Washoe Virus?	random	ppl	11
Samiullah is an ex-military officer. In addition to his duties as a soldier he is also a translator for the US military. He also has the job of a spy with the American government in Kabul. The day that he learns of Fiona's secret mission in Afghanistan, Sami and Fiona get into a car and drive into the middle of a conflict. The driver is killed, and Sami is hit by a speeding bullet.	In a village in the country's west, Samiulla, a teenage orphan boy, is trying to find a new friend who can accompany him on his journey back to Afghanistan. A young woman by the name of Fiona, a local farmer's daughter, is also a teenager and has a good job as a maid. However, the two seem to have little in common. They both have long beards, they wear the same traditional clothes and they speak with a very thick accent.	After a month in a coma, he wakes up in the hospital, having lost the use of his arms and legs.	A very long and arduous journey. But a necessary one.	ppl	random	12
It is late at night, and Mark and Nannette have a long conversation over drinks in a San Francisco bar. A woman sits at the bar next to Mark and the two talk, but there is no kiss. The two get up and leave. Nanette gets a taxi and leaves, and a short time later a group of people come into the bar and start making out. Mark and his friend stop the taxi and get out.	When Nanette was a child, her father and stepmother were killed in a horrific car accident. They were buried in a shallow grave and she was left to raise her brother and sister. One day, a new neighbor named Mark Prentchard showed up at her home and introduced himself to Nanette. Mark offered to buy Nanette's dog and take her on a walk to find a dead body.	She kissed him. He went to her room and she had sex.	Nanette was left on her own and she walked for days. She found her father's body, buried deep inside a small hollow in the forest. A few days after that, she found a dead squirrel, too.	random	ppl	13
When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	It was a beautiful day. Adolf Hitler was having a picnic with his favorite granddaughter, Nestora. The two of them were walking through the woods when they encountered a young woman. The woman was a maid, who was waiting for the master of the house to come out. Adolf, his granddaughter, and the maid walked into a house. The house belonged to a wealthy merchant. When Adolf and Nestor went into the kitchen, they saw a woman cooking dinner.	After a few more seconds, he was no more.	At the dinner table, Adolf looked up at the ceiling. He turned and saw the dark face of his granddaughter. He was horrified. He ran out of the room and locked the door.	random	ppl	14
In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	The sun began to rise on the Houltones at daybreak.	When they came to the edge of the town, Catherine gave them directions to a house that was on the edge, but she could not speak. They began to walk down the road that led to the town.	random	ppl	15
The people of Fulford are convinced that an ancient city hidden deep beneath their village was built to house a great evil, the spirit from an ancient, evil god. But the people of the town, the townspeople of Fulbury, are not convinced. In fact, the people, the local community, think Tom and his twin brother, Dee, are the cause of all the disappearances and all the problems that have come to Fulbury since the beginning of time.	The people of Fulford are convinced that an ancient city hidden deep beneath their village was built to house a great evil, the spirit from an ancient, evil god. But the people of the town, the townspeople of Fulbury, are not convinced. In fact, the people, the local community, think Tom and his twin brother, Dee, are the cause of all the disappearances and all the problems that have come to Fulbury since the beginning of time.	The townspeoople are going to get it. It's going to be a great big surprise!	Dee and Tom are in the middle of a battle to save their home, their family, their town and themselves.	random	ppl	16
David Pines was a handsome young man in his mid-twenties. He had a beautiful wife, Gina Miller. He was a very successful software entrepreneur and he was well-known for his philanthropy. He and Gina were living in San Mateo County, California. The day before David's death, Gina called home to tell him she had something she had to tell David. After she hung up, Gina went to the garage to get something to read to David.	The two friends were walking down the beach when David asked Gina if she'd like to go back to the restaurant he was having. After she said yes, she thought he was joking. He said he'd buy her a drink and a kiss. After leaving the restaurant, David and Gina got into an argument and David left her at the beach. When Gina came back, he was waiting for her at her car. She opened the door and David shoved her out and ran off.	The last time she saw him, he had a deep gash on the side of his head that looked like a gunshot wound.	In the end, David's actions leave her stranded and alone.	ppl	random	17
In 1842, the world was in the midst of a dark age, but then a man called Jose Vasconcelos, an ex-miner from Spain, arrived on a ship from Lisbon. He'd been given a mysterious gift by an evil witch, and the witch had been watching him, waiting for the perfect moment to strike. The perfect moment came when Vasconcellos returned home from a dangerous expedition in the jungles of Central America, and fell ill with malaria.	The town of Lisbon is being slowly devoured by cthulu, the greatest creature to have ever walked this earth. When Jose, an American reporter, goes into Lisbon to find out why so many are being afflicted with the terrible sickness, he discovers that it has begun to spread around the world, from Europe to the Middle East, Africa, and even the South Pacific Islands. But he can't tell them anything about this terrible creature because it's impossible to kill.	He was a good man, and he did the best he could for his family. He loved them very much. He was a fine man, but he had no hope.	The end. It was over. The end. The world was gone.	ppl	random	18
A young boy, Tom, and his best friend, Kathy, are on a bus ride to Manhattan to attend a science-fiction convention. But the trip is not without difficulty, because Tom's dog, Paddy, has the power to give out bad vibes. When the bus stops at a deserted park, Tom and Paddy become separated. The boys realize they are the only two people there who are not part of the convention.	It is a typical New York summer with a lot of rain. Tom and his friend Kathy Finkle were walking along a river when they fell into a strange cave. There they met two girls. One of them was a little girl who looked exactly like Tom. When they heard that she was an orphan, Tom and the other boy wanted to adopt her and raise her in their home. They were able to convince Kathy to go with them and so she agreed.	Tom and Kathy's adventures were more exciting than he had imagined!	They never found a place for the little girl, though she was adopted and went to live with them.	random	ppl	19
The World of William Trewhitt and Polly was a quiet place. They lived a simple life on their small farm in Fentimore, New York. William had a hard time dealing with people, and Polly wanted to make sure that they didn't come around too often. One night, the children were enjoying a nice evening of watching a little game of hide-and-seek. They came across a stranger at the door of their house.	"In the early 1930s, William T.Treadwell had been a successful attorney in Farragut. But when the economy collapsed, he lost his job. When he became homeless, he met Polly, a beautiful, intelligent woman he had met in a bar. Soon, they found themselves on the same boat, the Oddy Lady."" They sailed out to California, where he worked as a lawyer and she worked as an actress."	She said she was hungry. And she'd been so lonely lately.	He fell in love with her. She wanted to marry him. But he said no. They lived together. He was still a lawyer. She was still an actress.	random	ppl	20
"Patrick John McFarland finds himself in a position that is neither one he wanted nor one he should have to accept. Having been left on a deserted island by his father, Patrick and his brother, Cheryl, are on a journey to find their father's whereabouts. The script is set in Belfast. In August 2011 the film was advertised as one of the ""top 20 films in Ireland in 2011"". According to the website www.festivalfestival."	In the small Irish town of Ardbeg, two teenagers are caught up in the struggle of two warring families over the fate of the town's last mine. As the war between the families rages, both families become desperate. They turn to their young men, young women, and children, hoping for the salvation of the mine. The two teenagers, Patrick John McGaughey and Cheryl Gannon, have no choice in the matter, as their fate is decided for them at birth.	It's like 'E.T.' in the middle of Ireland!	The children of the families had to choose between their parents, a fate that is more than they can bear. As children, they had no choice. They had to kill their parents.	random	ppl	21
The time has come. The day of destiny. For Jude and her sister Julia, it is now. Julia, the oldest of their two sisters, is the only one of the three to be born in a stable marriage. A fact that does not sit well with the two. The other two are living happily in the countryside, with their two dogs, and Jude's two sons, both of whom are older than her, but still relatively young.	"On Earth, Jude and his wife, Julia, have made their home, where Jude works as a private investigator and Julia is a nurse. ""In the year 2035, Jude meets an enigmatic stranger named Alexi, a man whose body has been replaced by technology and whose brain has been reprogrammed by an alien race."	She's just going to live in a cabin on the hill and have nothing to do all day but think about the future!	It turns out that Alexi's brain is the same as Jude's and that he can use Jude's brain to take control of people's bodies. Alexi eventually uses Jude's body to take over the planet.	random	ppl	22
In the spring of 1970, George Jones' wife Jane died, and George sought employment in the construction field. He was hired by a contractor named Richard Wurtzel, who had a project in the works for the state. The state needed to build an office building, so Wurtlzle proposed the Joneses would build a state office building on their land. The construction site for the project was a field west of George's house.	George Jones and his wife Jane decided to start a business, called The Key. They decided to give their business to their sons, David and John. In doing so, the boys, who were in high school, were the ones that started the company and George Jones was the chief financial officer. George's business had started out small, but eventually grew and George was the only one at the company that wasn't an entrepreneur. In the beginning, the Joneses were making $50 a week.	They built it, and they had a great deal of problems with it. So they got rid of it.	In the last part, there's a big fight. The boys take the business and run. After running the business for a while, they decide to go home and go to bed. They never come back.	ppl	random	23
In the world of Herman and Alice, the people are all friendly and well-mannered. There is no crime, no violence, and no crime syndicates. The world is ruled by the United Government, a benevolent dictatorship, which uses the help of the people to further its plans for world domination. This, however, is not the case in Herman and his sister's world. In this world, there is no government and everyone is the enemy of everyone else.	Alice was a girl of modest means, but when her boyfriend died she was devastated. So she decided to take a one-way trip to a remote town, far away from everything, where no one cared. As she was traveling she encountered Herman Smith, a man of modest appearance, who had just lost his wife to a horrible, tragic accident. She asked Herman for her help in getting a job, and after a short time they formed an unlikely friendship.	It was like Alice was watching us through a screen.	After a few days, Alice and Herman decided to travel together. It was clear that Alice could not do anything for herself, so they decided to use their friendship to make their lives better.	random	ppl	24
The only reason Mark Smith made it through his whole life without killing himself was because he was able to be in two places at the same time. Mark Smith was the last of his kind, the last living survivor of the original colony, the world-famous planet Earth. In his new life, Mark Smith has been living in California. He works in a restaurant, runs a small business and tries to enjoy life.	The only reason Mark Smith made it through his whole life without killing himself was because he was able to be in two places at the same time. Mark Smith was the last of his kind, the last living survivor of the original colony, the world-famous planet Earth. In his new life, Mark Smith has been living in California. He works in a restaurant, runs a small business and tries to enjoy life.	A year has passed since the events of The Day the Earth Stood Still.	It was a perfect day. Perfect for a murder.	ppl	random	25
Zemal was a small child in a small village in the middle of the forest. He used to live alone in the forest, which was a place where all animals lived. Every day, Zemel used to go out into the forest to find some insects. One day, he came across a strange looking dog, Nessie. Nessie looked exactly like a dog, and she was always nice and obedient. The boy started to play with Nessie and she would obey him.	Zemal is Nessie's best friends friend. They meet in the forest. Nessie is always trying to find a way to escape from the forest and run away from Zemali. Nessie's mother is the witch of the forest, and she is always looking for Zemalis best friend.	Zemal had never seen a dog like that before. He didn't know anything about the animals, so Nessie began to teach him how to talk to them.	Nessy came home and her mother was there and they kissed and it was over. It was really wonderful.	ppl	random	26
Vipin and Minga have been a happy married couple, with four daughters – Kalki, Laxmi, Manju and Parvati. However, the marriage was a failure and they were divorced. The two have been struggling for the past three years, trying to find a new life together. Their lives were filled with difficulties and they didn't have any money. However in 2013, Vip in Kerala was hired as a labourer by the B.T. T. Co.	When a young man named Vipind Kumar and a girl named Mingna visit the temple town of Kollur in Kerala, they meet a mysterious man named Baju. Together with the man's granddaughter, a young woman named Minga, the two travel to the remote jungles to collect plants and plant them in their garden. The two have some problems, however, when a group of thieves break in and steal everything they have.	In the end the couple is happy but they are struggling with the money. Vip and Ming have been staying at a hostel in Chennai and are planning a trip to Mumbai in July.	When the flowers wilt, that is the time for the rains to come.	ppl	random	27
In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In the last weeks, in the city of Lisboa, in Portugal, an old friend of Jose Gomes goes to jail for a big crime, and his family doesn't know yet that he will be there for a very long time. During the last days of the trial, his son Jose comes to Lisbon, and a friendship between them grows, because Jose is a drug addict, and the father is afraid for his son.	And it was a lovely day, sunny and warm. And they were on their way home and Jose and Luiz were on the side of the road.	After a while, Jose has to be back. But the trial was over in a few hours, and after the final sentence, his family didn't see him again.	ppl	random	28
In late December, Polly's mother is taken ill. Her husband, Joe Smith, heads up the ship on a mission to find a cure and, when he doesn't return, the Captain makes a call to Polly. On the phone, Polly tells him that the ship has had a problem with its rudder since the morning and that there was no sign of Joe, that she was only able to reach him through his watch, which had been locked in his cabin.	Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	He was found on deck, his face in the snow. The captain had been forced to take her own life.	Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	random	ppl	29
He's a boy. It's not his fault. The Boy is a boy of the countryside who lives with his mother, his sister, and his pet pig. One night, William comes home, but the house is empty. He walks outside and sees the Queen. She's dressed in the royal regalia and she's wearing a mask. She asks the boy to find out who is in the house. The Boy runs upstairs to look under his bed.	The White Queen is the only daughter of a royal house who, for unknown reasons, has been denied the chance to be married off to another nobleman. Her brother, Prince William, is the heir to the throne, and is the youngest son of Queen Elizabeth II, Queen of England, and the Duke of Edinburgh.	In the end, the boy discovers that the Queen is actually the Devil.	In the end it is the White Queen and not the Duke who must face the King.	ppl	random	30
"Batman, in the guise of a homeless man, is attacked by a crazed woman named Linda Green. As Linda fights Batman, his identity is exposed. Batman and the other heroes rush to her aid and Linda uses a special power to summon a mysterious and powerful creature from the sea called the sea monster."" The sea monster emerges from the water and attacks Batman, and Batman is forced to call upon his friends. When the heroes arrive, the sea monster appears and defeats them."	The Batman has never seen or met the mysterious Linda Green and her brother Bruce Wayne in all the time they have known each other. Now they have a chance to make that change. They have the help of a young girl named Julie Madison who is determined to find her sister and stop the monster that is growing inside of her.	The heroes and the sea creature have a battle. Batman has no choice but to sacrifice his life to destroy the sea thing. Meanwhile, Linda is taken to the asylum where her friends are waiting.	If only she'd known the truth. If only she could've heard the screams.	ppl	random	31
A real-time thriller in which a boy, Praveena, and her best friend Durga are abducted by a real life monster, and brought to a remote island. There they must live among a few other survivors, and fight to survive. They are forced to fight back the monster's attacks by learning to fight in real time with their bodies and weapons. The boy and her friend Prahalad are forced into a life of extreme physical and mental challenge by the island's cruel inhabitants.	The monster Praveena is a little girl living in the forest of Kerala in India. Praveenne and her family were attacked by a monster, who was an exact copy of her. The family's only hope is to bring her back to life. The monster had no memory of its past life, only of Praveene and her. She is now in the hospital. She has a strong bond with her pet cat, who is a doll. The cat's name is Durga.	What will become of her? What will become, of him? They are both trapped with only each other, fighting with one another.	Durga has been taken away from Praveen and her mother. Durga is the only hope the family has of returning her to her original body.	random	ppl	32
The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	When she got out, John felt a strange sensation, like the air inside his body had been changed. He felt very dizzy and he couldn't remember the rest of the night.	The bartender, who was a friend of Viridia's, had to get out of the way of a drunken patron.	random	ppl	33
Benjamin Franklin and his sister Samantha Franklin were a wealthy young man from the time of the American Revolution when they were living in New Hampshire. They were in New Orleans on the night of September 14, 1774 when the British burned the city and Benjamin Franklin was among the first to escape to safety. He was able to escape because he had an understanding with Samuel Hopkinson, the owner of a bar in New Haven, Connecticut.	Benjamin Franklin and his sister Samantha Franklin were a wealthy young man from the time of the American Revolution when they were living in New Hampshire. They were in New Orleans on the night of September 14, 1774 when the British burned the city and Benjamin Franklin was among the first to escape to safety. He was able to escape because he had an understanding with Samuel Hopkinson, the owner of a bar in New Haven, Connecticut.	Benjamin Franklin was an adventurer who made a name for himself across the Atlantic. He wrote about his adventures in his diary.	He got back to New Jersey, but his sister did not.	ppl	random	34
He is a vagabond and a man of the underworld. But his path is set in motion by an enigmatic stranger who offers him a way to be in two places at once. Karl and Catherine are living in a German-like underground city called Wartburg, and it's pretty much all underground. But, when a man named Karl is born in a noble house, he quickly makes friends with the local prostitutes.	"In this world, Karl, a poor man, becomes a vagabond and lives in the subterranean city of the Black Forest. The city is controlled by the Black Prince,"" a ruthless dictator. Karl's main purpose in life is to get to the surface so he can meet a girl named Catherine. As Karl walks the streets, he notices how people are very friendly and have a strong sense of community."	After they found a book about their future and the book had been passed around among them, they decided to stay.	Karl is forced to confront the reality of the world he was born into. As a result, he finds himself in a life-and-death struggle against a despotic regime.	random	ppl	35
The two young women had just finished working at the local factory and were walking back to their respective homes, when they were approached by a strange man named Joe. He asked for Rochelle, and she obliged him by walking up to the car to be driven away by the man. The two women arrived home to find their house locked and an intruder in the house. Rochelle and Joe ran outside and discovered that the intruder was Joe. They began fighting until the police arrived and shot Joe.	"Joe was supposed to be in Michigan the next day to pick up Rochelle from school. He found that out only after he'd gotten home. The two of them were on the phone together for nearly five minutes when Rochelle's mother interrupted the conversation. The mother told Joe that Rochelle was in school, but she couldn't tell him exactly when. ""Rochelle's father and her older sister went with her to the school."" Joe and Rochel had a good relationship."	Rochelle and her mother arrived back at their home and discovered her mother had been shot to death and that her father had been killed. The family was very upset.	She goes home, and she's all alone.	ppl	random	36
It all began with the idea that Michael and his friend Maeve need more friends. Michael's grandfather had recently passed away and he needed to find a friend to fill the void. Unfortunately Michael's old friend Maevis is the type who doesn't get along with others and she won't even go with Michael to school. Maevis has been in the past when Michael had needed someone to go with. But that wasn't the worst of it because Maevis also doesn't have a boyfriend.	After Maeve has to return to her job with the company in the city of Mack, Michael is given the task of taking care of her for a few days while she takes her father to his work. The two plan to go to a spa on vacation with Michael, who makes her feel happy, but Michael gets lost on their way there. While there, they start to fall for each other, and Maece finally has a chance to ask Michael out.	Michael and Maeve became best friends, and the rest of their lives were filled with friendship and love.	A long, long road to get to this one.	ppl	random	37
John Smith and his wife Anna Jones are the most famous of New York's super-powered citizens. When they become aware that a young man, John Smith Jr., is a mutant, they send the son of the first of their number to find him and convince him to come back to New York as a human. Unfortunately, John's wife Anna has another son. The second son is called Jack.	When the U.S. government decides to make John Smith the first human to walk on Mars, John Smith finds out that he has to be an extraordinary man and god. It begins with John, an American, and Anna, a Canadian, living in New Orleans. John is working for a Canadian-owned mining company, which has an office in New City, the heart of the old New Orleans, and is planning to relocate to Mars to mine a rare earth element.	A new family, born of love, comes to New Orleans with a new identity, with new hopes and dreams for their new life.	John Smith, the first man to walk upon the surface of Mars, and his family, move to a small town in Canada to live with their new neighbors.	random	ppl	38
Javale McGee has just moved into his new house with his long-time girlfriend Polly and his new dog, Razz, who has a penchant for stealing things. He notices that the house was built before he moved in and, as an act of defiance, he has built a house of his own. As he is finishing up the basement, he notices a mysterious man in a suit walking along the shore.	A small child in North who has an imaginary friend that she plays with, Polly, begins to tell her parents about her new friend's past. Polly's father and her mother become worried about her imaginary friend, and decide to call the police to have Polly take her to a therapist. They call the therapist to help them and Polly becomes upset that her imaginary friends have been taken away from her.	It was the most perfect moment, and it made him smile the best he had smiled in months. It was the first time he had really laughed since his divorce had ended.	In the end, Polly is reunited with her friend and the therapist.	random	ppl	39
When the O'Briens move to a small town in Texas, they find a mysterious alien artifact that gives them the power to control a dog. However, when Michael Michael discovers that his new pet is a dangerous psychopath, he becomes obsessed with trying to destroy the creature. Jane's love for the dog drives her to try and find a way to keep it from attacking her.	Michael Michael's parents have been missing for two years. His sister Jane, who lives with her parents, was murdered when she was twelve years old. She was found in a wooded area and badly beaten. Her parents have not been heard from since. When Michael Michael was twelve, his father, Michael, got himself arrested for murder. Two years later, the police discovered that he had been using Michael Michael as a living breathing test subject for his experiments.	He's not an evil creature, he's a hero.	A man is about to go on trial for a crime he didn't commit.	random	ppl	40
