INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:task_id	ASSIGNMENT:worker_id	ASSIGNMENT:started
Bob was driving home from a date and had a rough night's sleep, after having been out all night with Mary and his parents and siblings. In the morning, he was up at six o'clock sharp to make it to the mall in time for the morning rush. When he arrived, the mall was packed with shoppers. As he parked, he felt a little apprehensive, but he was determined not to let his nerves get the better of him.	The two friends were sitting on a couch when Bob asked Mary if she could play an instrument and she said she could. Mary, who had been practicing every day, had a lovely voice, and she played some wonderful songs. Bob, who was a musician himself, was very impressed. He then proposed that they get together and practice together. Mary was excited about the possibility, and they spent most of their free time together in her room. They talked about the things they loved.	The man who had been in the car with Bob was a little worried. He looked back at Bob with the smallest smile of reassurance and went over to the other car. 'That's Bob!' Bob said. And they drove away.	They had a great time. They played their favorite songs and ate ice cream. They had lots of laughs and talked about their lives and their love for each other.	random	ppl	0	2				5d393ba2-801f-4f34-b568-bb7fbd83302b	79a4d48d9d0bcdc0e9cc76f985889165	2022-03-05T01:44:20.688
After Maeve has to return to her job with the company in the city of Mack, Michael is given the task of taking care of her for a few days while she takes her father to his work. The two plan to go to a spa on vacation with Michael, who makes her feel happy, but Michael gets lost on their way there. While there, they start to fall for each other, and Maece finally has a chance to ask Michael out.	Michael Michael's parents have been missing for years, and when Michael hears a rumor about an old friend, he decides to go look for him. He soon meets Maeve, a beautiful girl who reminds him of his mother. A little misunderstanding soon leads to a huge misunderstanding. Michael Michael learns that the whole world needs more heroes, and he decides that he has a lot of them. But he can't stop fighting for them.	A long, long road to get to this one.	A man can be so strong that when he gets hit, it hurts more than the blow himself took.	random	nsp	37	2				f228149d-43e9-4474-a2b5-cbd7ea0b222a	70f098f3627a23f63eb0ef3a636a475a	2022-03-05T01:44:23.711
Zemal is Nessie's best friends friend. They meet in the forest. Nessie is always trying to find a way to escape from the forest and run away from Zemali. Nessie's mother is the witch of the forest, and she is always looking for Zemalis best friend.	Nessie is a black Labrador that always wants to please his master Zemalf. He has a very loyal and kind nature and has always had a lot of respect for his master, but the time has come to prove himself and be the best dog in the village. The next year, the king of Londar and Nessy's master, Kordrond, is dying.	Nessy came home and her mother was there and they kissed and it was over. It was really wonderful.	The King died, but there was no sign of any illness. He was buried in the royal mausoleum, but his body was in such a terrible condition that the villagers could not move it.	random	nsp	26	1				0225df70-1257-447f-99f7-f3c239bf366b	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:44:41.681
It is the year 2042 and there is a plague spreading. It is a problem in every city on Earth. It's an epidemic that is killing more people than it was before. In order to fight it, the government decided to use robots as the best possible means. A robot named Ivan was sent to Kathmandū and his mission was to bring Shantu and the rest of the team to the capital to help with the plague.	It is the year 2042 and there is a plague spreading. It is a problem in every city on Earth. It's an epidemic that is killing more people than it was before. In order to fight it, the government decided to use robots as the best possible means. A robot named Ivan was sent to Kathmandū and his mission was to bring Shantu and the rest of the team to the capital to help with the plague.	Ivan, the robot, did not live up to the expectations of the people who sent him out to save humanity.	The virus is contained. The survivors are brought back to the city to be cured and to be placed in quarantine for the duration of the war.	ppl	random	6	1				52061b8c-dbd9-436a-a325-bedbad8e25de	79a4d48d9d0bcdc0e9cc76f985889165	2022-03-05T01:45:21.748
It had been one of those typical days. Joe was running his usual rounds around the station, keeping the rest of his team happy and busy. Rochelle had been working in the food department. They were sitting in their usual table in the canteen with a few other crew members. Joe, wearing his usual fedora, was reading a book while Rochelle was drinking her usual coffee. Joe's attention was drawn to an announcement on the PA system.	"Joe was supposed to be in Michigan the next day to pick up Rochelle from school. He found that out only after he'd gotten home. The two of them were on the phone together for nearly five minutes when Rochelle's mother interrupted the conversation. The mother told Joe that Rochelle was in school, but she couldn't tell him exactly when. ""Rochelle's father and her older sister went with her to the school."" Joe and Rochel had a good relationship."	A small group of humans and alien crewmates have become trapped within the station. They are all fighting for their lives.	She goes home, and she's all alone.	nsp	random	36	1				6064a8e7-e5a6-42a1-946e-02a22cab929d	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T01:45:31.617
The first year of Bella C's life, John Smith lived with his mother in the tiny town of North Pole, Alaska. Bella's parents, a widowed couple, had separated a few years earlier, and it seemed as if the relationship was destined for divorce. The years passed by in a haze of alcohol abuse and an addiction to painkillers. Bella, her mother, and her brother, Alex, moved out of the house, which Bella shared with a friend of hers.	In the middle of a storm, a young man and a woman meet in a bar. The woman introduces herself as Bella C, a woman who has a knack for making people forget about their troubles. She introduces John Smith, who is an ordinary college student with an interest in the occult. When John is confronted with a terrifying experience and begins to realize that Bella is not who she says she is, their connection grows stronger.	When Bella moved into her new house, she was excited and anxious for a fresh start. But when her mother moved into a smaller apartment nearby, her hope for a new start was dashed.	When it was time to die, he could not move, couldn't breathe, couldn�t move at all. But Bella was there, in his heart. She was the light, the truth, the reason for his being.	ppl	nsp	44	2				d793155d-433a-410a-876f-b297eb588222	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:45:59.693
Zemal is Nessie's best friends friend. They meet in the forest. Nessie is always trying to find a way to escape from the forest and run away from Zemali. Nessie's mother is the witch of the forest, and she is always looking for Zemalis best friend.	Nessie is a black Labrador that always wants to please his master Zemalf. He has a very loyal and kind nature and has always had a lot of respect for his master, but the time has come to prove himself and be the best dog in the village. The next year, the king of Londar and Nessy's master, Kordrond, is dying.	Nessy came home and her mother was there and they kissed and it was over. It was really wonderful.	The King died, but there was no sign of any illness. He was buried in the royal mausoleum, but his body was in such a terrible condition that the villagers could not move it.	random	nsp	26	2				0225df70-1257-447f-99f7-f3c239bf366b	79a4d48d9d0bcdc0e9cc76f985889165	2022-03-05T01:46:45.971
It had been one of those typical days. Joe was running his usual rounds around the station, keeping the rest of his team happy and busy. Rochelle had been working in the food department. They were sitting in their usual table in the canteen with a few other crew members. Joe, wearing his usual fedora, was reading a book while Rochelle was drinking her usual coffee. Joe's attention was drawn to an announcement on the PA system.	"Joe was supposed to be in Michigan the next day to pick up Rochelle from school. He found that out only after he'd gotten home. The two of them were on the phone together for nearly five minutes when Rochelle's mother interrupted the conversation. The mother told Joe that Rochelle was in school, but she couldn't tell him exactly when. ""Rochelle's father and her older sister went with her to the school."" Joe and Rochel had a good relationship."	A small group of humans and alien crewmates have become trapped within the station. They are all fighting for their lives.	She goes home, and she's all alone.	nsp	random	36	1				6064a8e7-e5a6-42a1-946e-02a22cab929d	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:47:39.917
The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	When she got out, John felt a strange sensation, like the air inside his body had been changed. He felt very dizzy and he couldn't remember the rest of the night.	The bartender, who was a friend of Viridia's, had to get out of the way of a drunken patron.	random	ppl	33	1				fc596214-f65b-46e4-b714-17df8db9bec7	79a4d48d9d0bcdc0e9cc76f985889165	2022-03-05T01:47:46.553
Zemal is Nessie's best friends friend. They meet in the forest. Nessie is always trying to find a way to escape from the forest and run away from Zemali. Nessie's mother is the witch of the forest, and she is always looking for Zemalis best friend.	Nessie is a black Labrador that always wants to please his master Zemalf. He has a very loyal and kind nature and has always had a lot of respect for his master, but the time has come to prove himself and be the best dog in the village. The next year, the king of Londar and Nessy's master, Kordrond, is dying.	Nessy came home and her mother was there and they kissed and it was over. It was really wonderful.	The King died, but there was no sign of any illness. He was buried in the royal mausoleum, but his body was in such a terrible condition that the villagers could not move it.	random	nsp	26	2				0225df70-1257-447f-99f7-f3c239bf366b	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T01:47:48.155
After he was kicked out of school, Jose was forced to spend his days on the streets. When he met Dorothy, she was a street-smart young lady who had a passion for writing and was determined to make a good living. While she worked long hours at a local factory, Jose took care of the house and took care to provide food for her and her two children. When Dorothy decided to leave town, Jose tried to help her and the kids with the situation.	On the night of June 5th, 1941 Jose and his sister Dorothy were on the way to Lisbon to spend a few days with the family in the house of their friend, João de Jesus Ferreira. After a few hours of sleeping, José suddenly woke up in the middle of the night with a start. He was unable to stand and started crawling towards his mother and sister. His sister, Dorothy, tried to pull him back down to the floor.	She's in a strange part of town with a man she doesn't trust.	After a few more moments of confusion, the two adults found themselves on the floor, both motionless. Jose's body was still motionless and he could not move.	random	ppl	8	2				2e4cebcd-a04a-469a-a475-d0cc11052f58	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T01:48:52.180
The White Queen has a bad night of sleep. She wakes up to find her father dead, his son William murdered, and her mother missing. A small town in Ireland has been gripped by a mysterious crime. When a small boy named Harry arrives in the town with a mysterious gift, the townspeople immediately turn on the hero. But before the heroes can get to the bottom of the case, the townsfolk are all murdered in cold blood by someone.	He's a boy. It's not his fault. The Boy is a boy of the countryside who lives with his mother, his sister, and his pet pig. One night, William comes home, but the house is empty. He walks outside and sees the Queen. She's dressed in the royal regalia and she's wearing a mask. She asks the boy to find out who is in the house. The Boy runs upstairs to look under his bed.	They were murdered. By the White Queen. The most monstrous and powerful of all witches.	In the end, the boy discovers that the Queen is actually the Devil.	nsp	ppl	30	1				901ad240-7300-4811-81a8-0bbea42b125a	79a4d48d9d0bcdc0e9cc76f985889165	2022-03-05T01:49:22.871
A year after a tornado destroyed their home in the town of Greenhills, a mother and son team find themselves at a crossroads. John must find a way to keep his son from becoming an outcast, while Minnie must find out the truth about her father's involvement in the tragedy. With the help of a detective and an FBI agent, they must come to terms with their own demons, and try to put this terrible tragedy behind them. The end always justified the means.	It had been the summer of 1965 and the two of them had spent most of that summer at Disneyland. John was a successful real estate developer and he had recently purchased a beautiful house on Main Street, Alameda. It was one of the most beautiful houses in Alta Loma and it was just down the hill from Disneyland and on the way to the airport from downtown Alameda in a quiet, safe, upscale neighborhood. Minnie, however, had always wanted to be a nurse.	That's when the wheels came off, and the whole thing collapsed.	In the end, she died in the house and he took it over, changed the name and made it a boarding house.	nsp	random	9	1				6221c44b-0857-45d8-a23f-7adadfbaee2c	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T01:49:55.375
Joan and Jose are traveling around the world. When a stranger shows up to tell them that they will be joining his expedition, they are not happy. Jose gets his first taste of what it is like to be a man at the beginning of his expedition when his dog, Dax, attacks him. The dog bites him on the arm and Jose gets knocked out, but he manages to wake up and realize that his dog is the enemy.	One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	When the dogs had left, the sky fell in.	When the last breath left his body, he was still alive.	nsp	random	7	2				05b68ff1-020c-49b1-b079-161b2a1123c3	79a4d48d9d0bcdc0e9cc76f985889165	2022-03-05T01:50:17.558
The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	The pair were in Rome, the capital of the ancient world, a few years after John's disappearance. Viridilla, who had come to visit him, was visiting Rome to attend the celebration of his mother's birthday. They were both having a good time, until they were approached by the Roman senate, who asked them to investigate the disappearance of a senator named John, a fellow Roman of mixed heritage, and a man who had been considered a hero throughout the Empire.	When she got out, John felt a strange sensation, like the air inside his body had been changed. He felt very dizzy and he couldn't remember the rest of the night.	He vanished while walking from the Senate to the Temple of Mars, the city's sacred place for the dead. Viridi and John have two children, but their marriage is never consummated; it is a common practice.	random	nsp	33	1				24000bad-ad5b-41e8-bdec-690fadd78c3a	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:50:42.494
"John H. and Bert are in South Korea, and John thinks they will go to South Sudan to film a show. But before the crew sets sail, John and Bert have a discussion about how John's life is more complicated than he ever thought. They discuss the possibility of life after death, as well as John's relationship with his family. ""The ship has no idea how to communicate, but they manage to get the job done."	John H. is a retired US Air Force Captain in civilian life and a respected veteran of the Vietnam war. He and his wife, Berta, have a daughter and a grandson, whom he and Bertan have raised to believe that Earth is the only home in the galaxy. But now the young people of South Sudan are rising up against a dictator and his repressive army. John and Bertal go to South Sudan to try to stop them.	After a lot of hard work, the crew finally sets sail to make good on the promise of the show they have promised themselves they will make.	The world is coming to an end. A new day has dawned. It is time to fight.	nsp	ppl	10	2				43b7fc68-8802-4404-b76e-75391ae073bc	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T01:50:59.048
Alice was a girl of modest means, but when her boyfriend died she was devastated. So she decided to take a one-way trip to a remote town, far away from everything, where no one cared. As she was traveling she encountered Herman Smith, a man of modest appearance, who had just lost his wife to a horrible, tragic accident. She asked Herman for her help in getting a job, and after a short time they formed an unlikely friendship.	Herman Smith, a well-known and respected computer scientist, and Alice, a renowned artist who lives on a quiet, tree-lined street in Palo Alto, California, meet one another at the local coffee shop. They have been friends for over thirty years. At the same time, however, they are also business partners and friends. They are partners in an art-production company that produces original, hand-made works of art on a scale unparalleled in the field.	After a few days, Alice and Herman decided to travel together. It was clear that Alice could not do anything for herself, so they decided to use their friendship to make their lives better.	After several months of fruitless correspondence, Alice's response was simply, 'Fine,' which is what Herman thought she wanted to hear.	ppl	nsp	24	1				55d44c4b-8242-495f-b602-bf6c5a54f869	79a4d48d9d0bcdc0e9cc76f985889165	2022-03-05T01:51:33.144
"Tasha was a single mom, trying to support the family of a small child, John Smith Jr. John was the only boy her daughter was ever happy to have around. Tasha would give John anything he wanted and if he said no"" he'd be sad and then she'd find another toy to play with. Tanya had been away on vacation when John and Taddy were born."	It's a warm, beautiful day in the American Southwest. The sun is shining, and the trees are bursting with color. The air is crisp, and there's a mild breeze blowing. The birds are chirping, and everything seems peaceful. It's just the perfect day for a romantic stroll by the water. John Smith, Sr, has spent the last six months in T.O. preparing his family to celebrate his upcoming wedding to his long time sweetheart Tasha.	The little boy is gone. He's never coming back.	It's a beautiful, bright sunny day in Taos.	nsp	random	45	2				303f4f1e-396b-4407-9d83-634ef9647ef2	79a4d48d9d0bcdc0e9cc76f985889165	2022-03-05T01:52:36.260
It was a beautiful day. Adolf Hitler was having a picnic with his favorite granddaughter, Nestora. The two of them were walking through the woods when they encountered a young woman. The woman was a maid, who was waiting for the master of the house to come out. Adolf, his granddaughter, and the maid walked into a house. The house belonged to a wealthy merchant. When Adolf and Nestor went into the kitchen, they saw a woman cooking dinner.	When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	At the dinner table, Adolf looked up at the ceiling. He turned and saw the dark face of his granddaughter. He was horrified. He ran out of the room and locked the door.	A few years after their escape, she [Nestora] wrote a letter, addressed to her dead children.	ppl	nsp	14	1				2b9eb66d-8ba5-4183-a2a9-0a8f48d72e30	79a4d48d9d0bcdc0e9cc76f985889165	2022-03-05T01:53:20.201
A year after a tornado destroyed their home in the town of Greenhills, a mother and son team find themselves at a crossroads. John must find a way to keep his son from becoming an outcast, while Minnie must find out the truth about her father's involvement in the tragedy. With the help of a detective and an FBI agent, they must come to terms with their own demons, and try to put this terrible tragedy behind them. The end always justified the means.	It had been the summer of 1965 and the two of them had spent most of that summer at Disneyland. John was a successful real estate developer and he had recently purchased a beautiful house on Main Street, Alameda. It was one of the most beautiful houses in Alta Loma and it was just down the hill from Disneyland and on the way to the airport from downtown Alameda in a quiet, safe, upscale neighborhood. Minnie, however, had always wanted to be a nurse.	That's when the wheels came off, and the whole thing collapsed.	In the end, she died in the house and he took it over, changed the name and made it a boarding house.	nsp	random	9	2				6221c44b-0857-45d8-a23f-7adadfbaee2c	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:55:47.800
"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	"A new world is dawning. The human race is becoming extinct, a plague of zombies has infected all humans and has now turned its attention on Washoe. The only known cure is the creation of a Washoe virus"" and the only known person who can create this virus is Benjamin. Brother and Sister have to save their family and find the cure before the virus can destroy them. Benjamin, in his final attempt to create the virus, has found a mysterious old man in the woods."	She'll save the universe and she'll save all of mankind!	Benjamin has a choice to make. Will he create the Washoe Virus?	random	ppl	11	2				2e7ef3fc-0df5-4c1b-91aa-10cae0fbd5bd	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:58:18.093
Joan and Jose are traveling around the world. When a stranger shows up to tell them that they will be joining his expedition, they are not happy. Jose gets his first taste of what it is like to be a man at the beginning of his expedition when his dog, Dax, attacks him. The dog bites him on the arm and Jose gets knocked out, but he manages to wake up and realize that his dog is the enemy.	One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	When the dogs had left, the sky fell in.	When the last breath left his body, he was still alive.	nsp	random	7	1				05b68ff1-020c-49b1-b079-161b2a1123c3	8e4eb6f01370b0084794766ad8a43198	2022-03-05T01:59:20.705
In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	The sun began to rise on the Houltones at daybreak.	When they came to the edge of the town, Catherine gave them directions to a house that was on the edge, but she could not speak. They began to walk down the road that led to the town.	random	ppl	15	2				3e2d7df4-4f92-4256-9dfe-81b4070d8059	8e4eb6f01370b0084794766ad8a43198	2022-03-05T02:00:18.202
It was a beautiful day. Adolf Hitler was having a picnic with his favorite granddaughter, Nestora. The two of them were walking through the woods when they encountered a young woman. The woman was a maid, who was waiting for the master of the house to come out. Adolf, his granddaughter, and the maid walked into a house. The house belonged to a wealthy merchant. When Adolf and Nestor went into the kitchen, they saw a woman cooking dinner.	When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	At the dinner table, Adolf looked up at the ceiling. He turned and saw the dark face of his granddaughter. He was horrified. He ran out of the room and locked the door.	A few years after their escape, she [Nestora] wrote a letter, addressed to her dead children.	ppl	nsp	14	2				2b9eb66d-8ba5-4183-a2a9-0a8f48d72e30	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:02:44.951
