INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	When the technology is ready and Sister Benjamin has a vision of a perfect world, it's time for Brother Benjamin to become a true prophet.	The Bishop family has made their decision. They are ready to travel into the future.	rank	nsp	11	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c540d2f0b1944f82f0d5ba	0001d29799--61c53dfb8a7e2d04d1b13469	0001d29799--61c540d2f0b1944f82f0d5ba	f8355b9c44701b88228ceb93c3935964	APPROVED	2021-12-24T03:38:58.428
The main character is a young couple, Joe and Sara. After losing their jobs in the city of Lomax, the couple moves to Dublin, Ireland. It is the year 2,000, and in the year 2000 an ancient city was built in the middle of the country.	The city was built centuries ago to contain a god, but after the god was killed by an evil wizard, the city is now a desolate wasteland, waiting for the next god to be summoned. The wizard is still around, and now he has sent a young girl, Sarah, to Ireland to retrieve her dead god's remains. Joe is not happy about the plan.	Joe and Sara are on a road trip around the country.	In the end, Joe is convinced that the only way to defeat the evil wizard is to become the new god.	rank	ppl	47	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c540dbb756df533ecc33c0	0001d29799--61c53dfb8a7e2d04d1b1345b	0001d29799--61c540dbb756df533ecc33c0	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:39:07.672
It is a typical day at work for George Jones, when he receives a phone call from a client. After explaining his situation to the client, the call is dropped and Jones returns to his desk. His boss tells him to take a look at his calendar and to see if he can meet his target by Saturday. George, however, is surprised to see that his target is actually his wife Jane, who works for the firm.	George Jones and his wife Jane decided to start a business, called The Key. They decided to give their business to their sons, David and John. In doing so, the boys, who were in high school, were the ones that started the company and George Jones was the chief financial officer. George's business had started out small, but eventually grew and George was the only one at the company that wasn't an entrepreneur. In the beginning, the Joneses were making $50 a week.	In fact, he got his target and he did it in such a simple and effective way that Jane didn't even know about the meeting.	One evening George Jones went to his office in a dimly lit apartment, sat down at his desk, and pulled out a folder.	nsp	rank	23	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c540f61c3a7842a574beee	0001d29799--61c53dfb8a7e2d04d1b13475	0001d29799--61c540f61c3a7842a574beee	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:39:34.506
In 1876, William Trowwell, a young American immigrant from Scotland, was arrested for robbing a store in Fawn, Missouri. On the morning of July 5th, Polly was found dead in her bedroom, with her wrists tied with a rope, her throat slashed and her body set on fire.	"In the early 1930s, William T.Treadwell had been a successful attorney in Farragut. But when the economy collapsed, he lost his job. When he became homeless, he met Polly, a beautiful, intelligent woman he had met in a bar. Soon, they found themselves on the same boat, the Oddy Lady."" They sailed out to California, where he worked as a lawyer and she worked as an actress."	When the fire had been put out, the police went into the house, and found the body with a large burn on the forehead and neck.	He fell in love with her. She wanted to marry him. But he said no. They lived together. He was still a lawyer. She was still an actress.	rank	ppl	20	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c540f8ed03567feec79eec	0001d29799--61c53dfb8a7e2d04d1b13440	0001d29799--61c540f8ed03567feec79eec	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:39:36.887
It is a typical day at work for George Jones, when he receives a phone call from a client. After explaining his situation to the client, the call is dropped and Jones returns to his desk. His boss tells him to take a look at his calendar and to see if he can meet his target by Saturday. George, however, is surprised to see that his target is actually his wife Jane, who works for the firm.	George Jones and his wife Jane decided to start a business, called The Key. They decided to give their business to their sons, David and John. In doing so, the boys, who were in high school, were the ones that started the company and George Jones was the chief financial officer. George's business had started out small, but eventually grew and George was the only one at the company that wasn't an entrepreneur. In the beginning, the Joneses were making $50 a week.	In fact, he got his target and he did it in such a simple and effective way that Jane didn't even know about the meeting.	One evening George Jones went to his office in a dimly lit apartment, sat down at his desk, and pulled out a folder.	nsp	rank	23	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c54106bcb51238fd3adc5c	0001d29799--61c53dfb8a7e2d04d1b13475	0001d29799--61c54106bcb51238fd3adc5c	f8355b9c44701b88228ceb93c3935964	APPROVED	2021-12-24T03:39:50.989
Alice was a girl of modest means, but when her boyfriend died she was devastated. So she decided to take a one-way trip to a remote town, far away from everything, where no one cared. As she was traveling she encountered Herman Smith, a man of modest appearance, who had just lost his wife to a horrible, tragic accident. She asked Herman for her help in getting a job, and after a short time they formed an unlikely friendship.	In the world of Herman and Alice, the people are all friendly and well-mannered. There is no crime, no violence, and no crime syndicates. The world is ruled by the United Government, a benevolent dictatorship, which uses the help of the people to further its plans for world domination. This, however, is not the case in Herman and his sister's world. In this world, there is no government and everyone is the enemy of everyone else.	In the end, Alice fell in love with Herman and they were married. They raised their children and lived happily ever after.	It was like Alice was watching us through a screen.	rank	random	24	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c54116a2ac1301faeb6c49	0001d29799--61c53dfb8a7e2d04d1b134a8	0001d29799--61c54116a2ac1301faeb6c49	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:40:06.106
In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	After a few weeks, Jude started to get really depressed. One day he decided to kill himself. He went online and downloaded an app to help him do it.	In the end, the man who killed Rome was the man he'd spent most of the night looking at porn.	rank	nsp	22	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5413b654e2775e4854316	0001d29799--61c53dfb8a7e2d04d1b13474	0001d29799--61c5413b654e2775e4854316	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:40:43.653
In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	After a few weeks, Jude started to get really depressed. One day he decided to kill himself. He went online and downloaded an app to help him do it.	In the end, the man who killed Rome was the man he'd spent most of the night looking at porn.	rank	nsp	22	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5414762fc8844007e52b6	0001d29799--61c53dfb8a7e2d04d1b13474	0001d29799--61c5414762fc8844007e52b6	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2021-12-24T03:40:55.153
The main character is a young couple, Joe and Sara. After losing their jobs in the city of Lomax, the couple moves to Dublin, Ireland. It is the year 2,000, and in the year 2000 an ancient city was built in the middle of the country.	The city was built centuries ago to contain a god, but after the god was killed by an evil wizard, the city is now a desolate wasteland, waiting for the next god to be summoned. The wizard is still around, and now he has sent a young girl, Sarah, to Ireland to retrieve her dead god's remains. Joe is not happy about the plan.	Joe and Sara are on a road trip around the country.	In the end, Joe is convinced that the only way to defeat the evil wizard is to become the new god.	rank	ppl	47	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c5415dfcd8cc1d864f40eb	0001d29799--61c53dfb8a7e2d04d1b1345b	0001d29799--61c5415dfcd8cc1d864f40eb	f8355b9c44701b88228ceb93c3935964	APPROVED	2021-12-24T03:41:17.419
The main character is a young couple, Joe and Sara. After losing their jobs in the city of Lomax, the couple moves to Dublin, Ireland. It is the year 2,000, and in the year 2000 an ancient city was built in the middle of the country.	The city was built centuries ago to contain a god, but after the god was killed by an evil wizard, the city is now a desolate wasteland, waiting for the next god to be summoned. The wizard is still around, and now he has sent a young girl, Sarah, to Ireland to retrieve her dead god's remains. Joe is not happy about the plan.	Joe and Sara are on a road trip around the country.	In the end, Joe is convinced that the only way to defeat the evil wizard is to become the new god.	rank	ppl	47	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c541774c56523b1e7a8632	0001d29799--61c53dfb8a7e2d04d1b1345b	0001d29799--61c541774c56523b1e7a8632	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:41:43.977
Samiullah is an ex-military officer. In addition to his duties as a soldier he is also a translator for the US military. He also has the job of a spy with the American government in Kabul. The day that he learns of Fiona's secret mission in Afghanistan, Sami and Fiona get into a car and drive into the middle of a conflict. The driver is killed, and Sami is hit by a speeding bullet.	The two of them meet, Sami in Kabul and Fiona back in London. Sami is a teacher at a girls school and Fiona works in a restaurant. When they meet they are both in their early twenties, although Sami, who is Muslim and Fiona, a Christian, do not get along. But Sami and Fiona become best friends. Sam, who has been in Afghanistan for more than a year, is a taxi driver and also runs his own business.	After a month in a coma, he wakes up in the hospital, having lost the use of his arms and legs.	They are still friends, but in a very different way.	ppl	rank	12	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c54177b7c04d4f13b390bd	0001d29799--61c53dfb8a7e2d04d1b13438	0001d29799--61c54177b7c04d4f13b390bd	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:41:43.886
In 1876, William Trowwell, a young American immigrant from Scotland, was arrested for robbing a store in Fawn, Missouri. On the morning of July 5th, Polly was found dead in her bedroom, with her wrists tied with a rope, her throat slashed and her body set on fire.	"In the early 1930s, William T.Treadwell had been a successful attorney in Farragut. But when the economy collapsed, he lost his job. When he became homeless, he met Polly, a beautiful, intelligent woman he had met in a bar. Soon, they found themselves on the same boat, the Oddy Lady."" They sailed out to California, where he worked as a lawyer and she worked as an actress."	When the fire had been put out, the police went into the house, and found the body with a large burn on the forehead and neck.	He fell in love with her. She wanted to marry him. But he said no. They lived together. He was still a lawyer. She was still an actress.	rank	ppl	20	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c54183ed03567feec7a2eb	0001d29799--61c53dfb8a7e2d04d1b13440	0001d29799--61c54183ed03567feec7a2eb	f8355b9c44701b88228ceb93c3935964	APPROVED	2021-12-24T03:41:55.162
Alice was a girl of modest means, but when her boyfriend died she was devastated. So she decided to take a one-way trip to a remote town, far away from everything, where no one cared. As she was traveling she encountered Herman Smith, a man of modest appearance, who had just lost his wife to a horrible, tragic accident. She asked Herman for her help in getting a job, and after a short time they formed an unlikely friendship.	In the world of Herman and Alice, the people are all friendly and well-mannered. There is no crime, no violence, and no crime syndicates. The world is ruled by the United Government, a benevolent dictatorship, which uses the help of the people to further its plans for world domination. This, however, is not the case in Herman and his sister's world. In this world, there is no government and everyone is the enemy of everyone else.	In the end, Alice fell in love with Herman and they were married. They raised their children and lived happily ever after.	It was like Alice was watching us through a screen.	rank	random	24	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c54187cd524d5be668362b	0001d29799--61c53dfb8a7e2d04d1b134a8	0001d29799--61c54187cd524d5be668362b	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2021-12-24T03:41:59.091
The two are walking through Majuro and are passing a shrine of an ancient goddess. They are approached by an elderly woman who tells them that a man and a woman who worshipped her long ago left this shrine and asked her to give them a blessing. After this, the two are asked by Naoifu to help a girl and a boy who are lost in a mysterious forest. They meet a dog named Fuzoku, who is able to find them.	Naoi, a girl born without an organ of speech, has been adopted as a servant of a high-ranking courtier by his family. Sue, her daughter, has inherited the family estate after her father's death and works as a maid in the mansion of a duke. The duke's mistress has fallen in love with Sue and wants her as a lover.	In the end, when the two arrive at the destination, they are met by two spirits who guide them to the place of the boy and the girl.	When he was fourteen, Nao was raped by a man who was also her lover. But the rape was not her fault. She didn't tell her father because she thought that he would be angry and that she would be blamed.	ppl	rank	5	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c54195a2ac1301faeb6e7d	0001d29799--61c53dfb8a7e2d04d1b13431	0001d29799--61c54195a2ac1301faeb6e7d	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:42:13.189
Alice was a girl of modest means, but when her boyfriend died she was devastated. So she decided to take a one-way trip to a remote town, far away from everything, where no one cared. As she was traveling she encountered Herman Smith, a man of modest appearance, who had just lost his wife to a horrible, tragic accident. She asked Herman for her help in getting a job, and after a short time they formed an unlikely friendship.	In the world of Herman and Alice, the people are all friendly and well-mannered. There is no crime, no violence, and no crime syndicates. The world is ruled by the United Government, a benevolent dictatorship, which uses the help of the people to further its plans for world domination. This, however, is not the case in Herman and his sister's world. In this world, there is no government and everyone is the enemy of everyone else.	In the end, Alice fell in love with Herman and they were married. They raised their children and lived happily ever after.	It was like Alice was watching us through a screen.	rank	random	24	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c541a29e9ad906ecf9d857	0001d29799--61c53dfb8a7e2d04d1b134a8	0001d29799--61c541a29e9ad906ecf9d857	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:42:26.475
The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	The bartender, who was a friend of Viridia's, had to get out of the way of a drunken patron.	The bartender takes her hand and puts it on John's shoulder. Viridian's hand is cold.	ppl	rank	33	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c541c874fdb82592dda1a7	0001d29799--61c53dfb8a7e2d04d1b1344d	0001d29799--61c541c874fdb82592dda1a7	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:43:04.470
Samiullah is an ex-military officer. In addition to his duties as a soldier he is also a translator for the US military. He also has the job of a spy with the American government in Kabul. The day that he learns of Fiona's secret mission in Afghanistan, Sami and Fiona get into a car and drive into the middle of a conflict. The driver is killed, and Sami is hit by a speeding bullet.	The two of them meet, Sami in Kabul and Fiona back in London. Sami is a teacher at a girls school and Fiona works in a restaurant. When they meet they are both in their early twenties, although Sami, who is Muslim and Fiona, a Christian, do not get along. But Sami and Fiona become best friends. Sam, who has been in Afghanistan for more than a year, is a taxi driver and also runs his own business.	After a month in a coma, he wakes up in the hospital, having lost the use of his arms and legs.	They are still friends, but in a very different way.	ppl	rank	12	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c541c9f0b1944f82f0db4b	0001d29799--61c53dfb8a7e2d04d1b13438	0001d29799--61c541c9f0b1944f82f0db4b	f8355b9c44701b88228ceb93c3935964	APPROVED	2021-12-24T03:43:05.226
Samiullah is an ex-military officer. In addition to his duties as a soldier he is also a translator for the US military. He also has the job of a spy with the American government in Kabul. The day that he learns of Fiona's secret mission in Afghanistan, Sami and Fiona get into a car and drive into the middle of a conflict. The driver is killed, and Sami is hit by a speeding bullet.	The two of them meet, Sami in Kabul and Fiona back in London. Sami is a teacher at a girls school and Fiona works in a restaurant. When they meet they are both in their early twenties, although Sami, who is Muslim and Fiona, a Christian, do not get along. But Sami and Fiona become best friends. Sam, who has been in Afghanistan for more than a year, is a taxi driver and also runs his own business.	After a month in a coma, he wakes up in the hospital, having lost the use of his arms and legs.	They are still friends, but in a very different way.	ppl	rank	12	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c541d4c9669413a5cbab20	0001d29799--61c53dfb8a7e2d04d1b13438	0001d29799--61c541d4c9669413a5cbab20	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:43:16.127
In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	William and Catherine have been hired to look after the family fortune in Bristol, England. After they discover a giant hole in the ground, Catherine, William, and their son are sucked out through a small crack, and find themselves trapped in an alternate reality, with a man named William the Conqueror and a woman named Catherine. After a brief time on Earth, Catherine is forced to return to the strange new world.	When they came to the edge of the town, Catherine gave them directions to a house that was on the edge, but she could not speak. They began to walk down the road that led to the town.	In the end, William and his wife were forced to marry because they had been married for too long. The two of them were forced into an alliance with the man who had been their mortal enemy, Henry VIII.	ppl	rank	15	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c541f5795c4734a30ad344	0001d29799--61c53dfb8a7e2d04d1b1343b	0001d29799--61c541f5795c4734a30ad344	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:43:49.369
