INPUT:story	INPUT:system	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
Tom wanted to lose weight and lose weight. He decided to start exercising. He started to lose weight. Eventually he started running. Tom lost his pounds.	plan-and-write	20	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296755b50edb0927f44453	ba836315-ab7e-4eed-89bf-65c1dac4ffdb	0001ec48ec--62296755b50edb0927f44453	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:49:57.515
I was a very fat man. I decided to start exercising. I started to lose weight. I exercised. I lost weight.	plan-and-write	36	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--6229675beefaa33c9da0e979	b180dc11-6308-47c8-b568-712da75755d4	0001ec48ec--6229675beefaa33c9da0e979	f43c8859100f0c1106e859ba74188e6e	APPROVED	2022-03-10T02:50:03.415
Tom wanted to buy a new house. He decided to buy a new one. He bought a new one. He made a new one. Tom was happy to have a new one.	plan-and-write	18	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622968334a82ca09cd18b5b6	efb217a8-dc33-4a75-bc81-23d9db2ad430	0001ec48ec--622968334a82ca09cd18b5b6	ade066e604e93b213e44e3030eef7f39	APPROVED	2022-03-10T02:53:39.456
Tom wanted to be a doctor. He decided to start taking a job. He started to feel confident. He made a great deal. Eventually he was able to get a job.	plan-and-write	13	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--622968a7290351193d8373f7	ee4abdea-d7a4-42a1-aeae-1b9652e3f293	0001ec48ec--622968a7290351193d8373f7	ade066e604e93b213e44e3030eef7f39	APPROVED	2022-03-10T02:55:35.573
The two friends were sitting on a couch when Bob asked Mary if she could play an instrument and she said she could. Mary, who had been practicing every day, had a lovely voice, and she played some wonderful songs. Bob, who was a musician himself, was very impressed. He then proposed that they get together and practice together. Mary was excited about the possibility, and they spent most of their free time together in her room. They talked about the things they loved. They had a great time. They played their favorite songs and ate ice cream. They had lots of laughs and talked about their lives and their love for each other.	scratchplot	0	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622969889df18e30cf1a6be5	166eed1b-a966-4cd6-a4f3-219ce03fa5c5	0001ec48ec--622969889df18e30cf1a6be5	4fcec748108d9b79c2b0e8ddf3071d93	APPROVED	2022-03-10T02:59:20.414
I had a lot of weight. I decided to try out for a gym. I made a few hundred pounds. I started exercising every week. I was able to lose weight.	plan-and-write	22	4				https://toloka.yandex.ru/task/32262380/0001ec48ec--6229699c3c3d413ca065acff	d895b9c2-966b-4de8-9ebc-5f3846326cc6	0001ec48ec--6229699c3c3d413ca065acff	6ba4a0982299c0f305f25a9a9096776b	APPROVED	2022-03-10T02:59:40.505
Tom wanted to be a doctor. He decided to start taking a job. He started to feel confident. He made a great deal. Eventually he was able to get a job.	plan-and-write	13	1				https://toloka.yandex.ru/task/32262380/0001ec48ec--622969adadf82f6efc11d503	ee4abdea-d7a4-42a1-aeae-1b9652e3f293	0001ec48ec--622969adadf82f6efc11d503	4fcec748108d9b79c2b0e8ddf3071d93	APPROVED	2022-03-10T02:59:57.693
The Gomes boys were raised in poverty by their parents on the streets of Lisbon. They moved to a small village in southern Portugal and became the youngest athletes in the country. Luiz, the oldest, played soccer for the national team. Jose, the youngest, was a talented baseball player. Their parents were both teachers, so they were taught the value of hard work, and the importance of teaching each other. The Gomes brothers went on to dominate the soccer field as the best soccer players in Portugal for years to come.	scratchplot	48	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622969b9f2f0126f42087e48	3dca4088-ea49-4272-ace9-5cb7b5c77a53	0001ec48ec--622969b9f2f0126f42087e48	6ba4a0982299c0f305f25a9a9096776b	APPROVED	2022-03-10T03:00:09.522
In the summer of 1889, the small town of Washoe was the perfect place to raise a family. George W., a boy of fourteen, and Penny, a girl of sixteen, moved in, and the Wilson's began to plan a wonderful life together. Penny and George W.'s lives changed forever in June 1890. George had recently turned eighteen and, in accordance with the laws of his state of Idaho, he could legally marry his sweetheart Penny. Penny's family, however, didn't approve. They believed that George should wait to marry until he was at least twenty-five years old.	scratchplot	49	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622969c04fce190ebda70ab8	62ce99cc-fd71-47aa-8532-e87b6bea84a1	0001ec48ec--622969c04fce190ebda70ab8	f565d051dae61a934598e2217f8b1c58	APPROVED	2022-03-10T03:00:16.149
Alice was a girl of modest means, but when her boyfriend died she was devastated. So she decided to take a one-way trip to a remote town, far away from everything, where no one cared. As she was traveling she encountered Herman Smith, a man of modest appearance, who had just lost his wife to a horrible, tragic accident. She asked Herman for her help in getting a job, and after a short time they formed an unlikely friendship. After a few days, Alice and Herman decided to travel together. It was clear that Alice could not do anything for herself, so they decided to use their friendship to make their lives better.	scratchplot	24	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622969dc294a1e5c1621496a	9937c202-269d-4f38-a95e-01dde9d6906a	0001ec48ec--622969dc294a1e5c1621496a	6ba4a0982299c0f305f25a9a9096776b	APPROVED	2022-03-10T03:00:44.514
In 1842, the world was in the midst of a dark age, but then a man called Jose Vasconcelos, an ex-miner from Spain, arrived on a ship from Lisbon. He'd been given a mysterious gift by an evil witch, and the witch had been watching him, waiting for the perfect moment to strike. The perfect moment came when Vasconcellos returned home from a dangerous expedition in the jungles of Central America, and fell ill with malaria. He was a good man, and he did the best he could for his family. He loved them very much. He was a fine man, but he had no hope.	scratchplot	18	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622969dc95aad761f177f99b	dcca48ed-f125-437d-bd77-8658819775aa	0001ec48ec--622969dc95aad761f177f99b	f565d051dae61a934598e2217f8b1c58	APPROVED	2022-03-10T03:00:44.857
The Gomes boys were raised in poverty by their parents on the streets of Lisbon. They moved to a small village in southern Portugal and became the youngest athletes in the country. Luiz, the oldest, played soccer for the national team. Jose, the youngest, was a talented baseball player. Their parents were both teachers, so they were taught the value of hard work, and the importance of teaching each other. The Gomes brothers went on to dominate the soccer field as the best soccer players in Portugal for years to come.	scratchplot	48	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622969f8294a1e5c16214a53	3dca4088-ea49-4272-ace9-5cb7b5c77a53	0001ec48ec--622969f8294a1e5c16214a53	4f0f1c7b516d81490c4ab639c6aaa720	APPROVED	2022-03-10T03:01:12.436
Tom wanted to lose weight and lose weight. He decided to start exercising. He started to lose weight. Eventually he started running. Tom lost his pounds.	plan-and-write	20	4				https://toloka.yandex.ru/task/32262380/0001ec48ec--622969f97a07670e20f36114	ba836315-ab7e-4eed-89bf-65c1dac4ffdb	0001ec48ec--622969f97a07670e20f36114	f565d051dae61a934598e2217f8b1c58	APPROVED	2022-03-10T03:01:13.818
Tom wanted to buy a new house. He decided to buy a new one. He bought a new one. He made a new one. Tom was happy to have a new one.	plan-and-write	18	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--622969fa4fce190ebda70cbd	efb217a8-dc33-4a75-bc81-23d9db2ad430	0001ec48ec--622969fa4fce190ebda70cbd	4fcec748108d9b79c2b0e8ddf3071d93	APPROVED	2022-03-10T03:01:14.179
Tom wanted to buy a new house. He decided to buy a new one. He bought a new one. He made a new one. Tom was happy to have a new one.	plan-and-write	18	2				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a0373a36d72fbbbce89	efb217a8-dc33-4a75-bc81-23d9db2ad430	0001ec48ec--62296a0373a36d72fbbbce89	6ba4a0982299c0f305f25a9a9096776b	APPROVED	2022-03-10T03:01:23.802
In the summer of 1889, the small town of Washoe was the perfect place to raise a family. George W., a boy of fourteen, and Penny, a girl of sixteen, moved in, and the Wilson's began to plan a wonderful life together. Penny and George W.'s lives changed forever in June 1890. George had recently turned eighteen and, in accordance with the laws of his state of Idaho, he could legally marry his sweetheart Penny. Penny's family, however, didn't approve. They believed that George should wait to marry until he was at least twenty-five years old.	scratchplot	49	4				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a2237825f2adb415105	62ce99cc-fd71-47aa-8532-e87b6bea84a1	0001ec48ec--62296a2237825f2adb415105	4f0f1c7b516d81490c4ab639c6aaa720	APPROVED	2022-03-10T03:01:54.388
I wanted to lose weight. I decided to start exercising. I tried out for months. Eventually, i was able to lose weight. I lost weight.	plan-and-write	15	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a250e2afb762e7a01f7	e1af4962-2f9e-45f5-b880-1184ff594932	0001ec48ec--62296a250e2afb762e7a01f7	4fcec748108d9b79c2b0e8ddf3071d93	APPROVED	2022-03-10T03:01:57.036
In 1842, the world was in the midst of a dark age, but then a man called Jose Vasconcelos, an ex-miner from Spain, arrived on a ship from Lisbon. He'd been given a mysterious gift by an evil witch, and the witch had been watching him, waiting for the perfect moment to strike. The perfect moment came when Vasconcellos returned home from a dangerous expedition in the jungles of Central America, and fell ill with malaria. He was a good man, and he did the best he could for his family. He loved them very much. He was a fine man, but he had no hope.	scratchplot	18	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a264a82ca09cd18c35b	dcca48ed-f125-437d-bd77-8658819775aa	0001ec48ec--62296a264a82ca09cd18c35b	6ba4a0982299c0f305f25a9a9096776b	APPROVED	2022-03-10T03:01:58.027
John and Cheryl had been divorced for years, and while the divorce was final, there were still legal problems. John had bought a house in a nice part of town, and now, as it was approaching its five-year anniversary, his friends began asking questions about the house. The house was nice, and had nice rooms and a pool and all that. But the people who lived there had some problems. They lived with their mother and her family of five, with no money and no job. On the first day of the week of September, 1995, John and his friends got in their cars and drove back to the house they had been renting in the woods.	scratchplot	2	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a49f2f0126f4208810a	2d47fa34-50cb-483c-bc1a-17f26cd07025	0001ec48ec--62296a49f2f0126f4208810a	f565d051dae61a934598e2217f8b1c58	APPROVED	2022-03-10T03:02:33.141
Benjamin Franklin and his sister Samantha Franklin were a wealthy young man from the time of the American Revolution when they were living in New Hampshire. They were in New Orleans on the night of September 14, 1774 when the British burned the city and Benjamin Franklin was among the first to escape to safety. He was able to escape because he had an understanding with Samuel Hopkinson, the owner of a bar in New Haven, Connecticut. Benjamin Franklin was an adventurer who made a name for himself across the Atlantic. He wrote about his adventures in his diary.	scratchplot	34	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a4d4fce190ebda70fa0	fa383cdd-ada6-4f18-8a7d-f8f9fcb1fefd	0001ec48ec--62296a4d4fce190ebda70fa0	6ba4a0982299c0f305f25a9a9096776b	APPROVED	2022-03-10T03:02:37.452
I had a lot of weight. I decided to try out for a gym. I made a few hundred pounds. I started exercising every week. I was able to lose weight.	plan-and-write	22	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a5d0dcab8597d7fdb27	d895b9c2-966b-4de8-9ebc-5f3846326cc6	0001ec48ec--62296a5d0dcab8597d7fdb27	1c8b1038b5ffeb38c0e2ebf8f7b4c666	APPROVED	2022-03-10T03:02:53.143
Sam wanted to go to the movies. He decided to go to the movie theater. He started to see a movie. Eventually he got to see the movie. He lost his movie.	plan-and-write	39	2				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a64cffc872118cfbeff	eed9951c-bb9d-4aec-a21f-d0c8739f2f2b	0001ec48ec--62296a64cffc872118cfbeff	4f0f1c7b516d81490c4ab639c6aaa720	APPROVED	2022-03-10T03:03:00.026
Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer. Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	scratchplot	29	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a79c0012a219dd0a3a7	1c931e2f-f278-4be4-964d-9606eb4312e1	0001ec48ec--62296a79c0012a219dd0a3a7	1c8b1038b5ffeb38c0e2ebf8f7b4c666	APPROVED	2022-03-10T03:03:21.608
One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill. She had to live with him. They had been lovers for a long time, but she had never wanted anything more than to see him dead.	scratchplot	7	4				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a7d839fdc6ec42a19de	75527626-54a3-4e95-af20-ed2acb326c67	0001ec48ec--62296a7d839fdc6ec42a19de	4f0f1c7b516d81490c4ab639c6aaa720	APPROVED	2022-03-10T03:03:25.792
The two friends were sitting on a couch when Bob asked Mary if she could play an instrument and she said she could. Mary, who had been practicing every day, had a lovely voice, and she played some wonderful songs. Bob, who was a musician himself, was very impressed. He then proposed that they get together and practice together. Mary was excited about the possibility, and they spent most of their free time together in her room. They talked about the things they loved. They had a great time. They played their favorite songs and ate ice cream. They had lots of laughs and talked about their lives and their love for each other.	scratchplot	0	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296a9cb50edb0927f47671	166eed1b-a966-4cd6-a4f3-219ce03fa5c5	0001ec48ec--62296a9cb50edb0927f47671	1c8b1038b5ffeb38c0e2ebf8f7b4c666	APPROVED	2022-03-10T03:03:56.476
Benjamin Franklin and his sister Samantha Franklin were a wealthy young man from the time of the American Revolution when they were living in New Hampshire. They were in New Orleans on the night of September 14, 1774 when the British burned the city and Benjamin Franklin was among the first to escape to safety. He was able to escape because he had an understanding with Samuel Hopkinson, the owner of a bar in New Haven, Connecticut. Benjamin Franklin was an adventurer who made a name for himself across the Atlantic. He wrote about his adventures in his diary.	scratchplot	34	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296aaf4fce190ebda71439	fa383cdd-ada6-4f18-8a7d-f8f9fcb1fefd	0001ec48ec--62296aaf4fce190ebda71439	4f0f1c7b516d81490c4ab639c6aaa720	APPROVED	2022-03-10T03:04:15.973
When Khadijah was about to go to the wedding of John H., John took her to the house of Abraham and had sex with her. He had to take an oath of chastity for Khadiyah to enter the new city called Ur of the Chaldees. Then John brought her to Jerusalem, where she fell in love with Solomon, who was a great prophet. But she was not interested in marrying him. In the beginning God created the heaven and the earth. And the earth was without form, and void; and darkness was upon the face of the deep. And God said, Let there be light; and there was light.	scratchplot	3	3				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296ab9c1b181656241c31b	d5d9244a-73a9-4381-bdd2-9fdc14fdd9a7	0001ec48ec--62296ab9c1b181656241c31b	6ba4a0982299c0f305f25a9a9096776b	APPROVED	2022-03-10T03:04:25.343
Sheltering in a cabin outside South Sudan, Mason Davis, the son of a warlord, and his friend Zelena, an orphan, begin their relationship when she shows interest in his father's prized possession. He begins to doubt his own innocence and their romance begins to blossom. It is an unexpected romance—even for Mason Davis—but one they share. Their love is bound by fate—the fate of the universe. But fate also changes that destiny. It changes Mason's. The universe is on the brink of change. The universe is changing. It was inevitable, and it will continue to change.	scratchplot	42	1				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296ac37a07670e20f36853	dc7e1922-7c58-4d10-8f4d-828ec7b33266	0001ec48ec--62296ac37a07670e20f36853	1c8b1038b5ffeb38c0e2ebf8f7b4c666	APPROVED	2022-03-10T03:04:35.255
Alice was a girl of modest means, but when her boyfriend died she was devastated. So she decided to take a one-way trip to a remote town, far away from everything, where no one cared. As she was traveling she encountered Herman Smith, a man of modest appearance, who had just lost his wife to a horrible, tragic accident. She asked Herman for her help in getting a job, and after a short time they formed an unlikely friendship. After a few days, Alice and Herman decided to travel together. It was clear that Alice could not do anything for herself, so they decided to use their friendship to make their lives better.	scratchplot	24	4				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296acc95aad761f1780288	9937c202-269d-4f38-a95e-01dde9d6906a	0001ec48ec--62296acc95aad761f1780288	f565d051dae61a934598e2217f8b1c58	APPROVED	2022-03-10T03:04:44.086
Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer. Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	scratchplot	29	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296adc0491a43cbd6e7e2f	1c931e2f-f278-4be4-964d-9606eb4312e1	0001ec48ec--62296adc0491a43cbd6e7e2f	4f0f1c7b516d81490c4ab639c6aaa720	APPROVED	2022-03-10T03:05:00.673
It all began with the idea that Michael and his friend Maeve need more friends. Michael's grandfather had recently passed away and he needed to find a friend to fill the void. Unfortunately Michael's old friend Maevis is the type who doesn't get along with others and she won't even go with Michael to school. Maevis has been in the past when Michael had needed someone to go with. But that wasn't the worst of it because Maevis also doesn't have a boyfriend. Michael and Maeve became best friends, and the rest of their lives were filled with friendship and love.	scratchplot	37	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296aec0e2afb762e7a07c3	14ffeeea-38cc-4948-bbf5-c26885fb2f9a	0001ec48ec--62296aec0e2afb762e7a07c3	1c8b1038b5ffeb38c0e2ebf8f7b4c666	APPROVED	2022-03-10T03:05:16.682
Alice was a girl of modest means, but when her boyfriend died she was devastated. So she decided to take a one-way trip to a remote town, far away from everything, where no one cared. As she was traveling she encountered Herman Smith, a man of modest appearance, who had just lost his wife to a horrible, tragic accident. She asked Herman for her help in getting a job, and after a short time they formed an unlikely friendship. After a few days, Alice and Herman decided to travel together. It was clear that Alice could not do anything for herself, so they decided to use their friendship to make their lives better.	scratchplot	24	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296af18900d230dbe3ddf3	9937c202-269d-4f38-a95e-01dde9d6906a	0001ec48ec--62296af18900d230dbe3ddf3	ade066e604e93b213e44e3030eef7f39	APPROVED	2022-03-10T03:05:21.991
In the summer of 1889, the small town of Washoe was the perfect place to raise a family. George W., a boy of fourteen, and Penny, a girl of sixteen, moved in, and the Wilson's began to plan a wonderful life together. Penny and George W.'s lives changed forever in June 1890. George had recently turned eighteen and, in accordance with the laws of his state of Idaho, he could legally marry his sweetheart Penny. Penny's family, however, didn't approve. They believed that George should wait to marry until he was at least twenty-five years old.	scratchplot	49	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296af3b50edb0927f478b9	62ce99cc-fd71-47aa-8532-e87b6bea84a1	0001ec48ec--62296af3b50edb0927f478b9	1c8b1038b5ffeb38c0e2ebf8f7b4c666	APPROVED	2022-03-10T03:05:23.217
"In this world, Karl, a poor man, becomes a vagabond and lives in the subterranean city of the Black Forest. The city is controlled by the Black Prince,"" a ruthless dictator. Karl's main purpose in life is to get to the surface so he can meet a girl named Catherine. As Karl walks the streets, he notices how people are very friendly and have a strong sense of community. Karl is forced to confront the reality of the world he was born into. As a result, he finds himself in a life-and-death struggle against a despotic regime."	scratchplot	35	5				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296b148afce042b4c4aca1	09740192-b497-461d-b1d5-5e2256867dbe	0001ec48ec--62296b148afce042b4c4aca1	f565d051dae61a934598e2217f8b1c58	APPROVED	2022-03-10T03:05:56.415
I was overweight. I decided to start eating healthier food. I started eating healthy food. I ate a lot of diet. I ate a lot of food.	plan-and-write	40	2				https://toloka.yandex.ru/task/32262380/0001ec48ec--62296b195b075e1d27d15872	61e3cb48-2ddd-4401-b162-22d9b0798bc7	0001ec48ec--62296b195b075e1d27d15872	4f0f1c7b516d81490c4ab639c6aaa720	APPROVED	2022-03-10T03:06:01.149
