text_a,text_b,label,score
Rome,Alyssa,actress,acceptable
"Taos, NM",Hannah,actress,acceptable
Mendouville,John,actor,acceptable
Bexar County,Tom Riddick,actor,acceptable
Pensacola,Randy Lee Adams,actor,acceptable
Alameda County,Cheryl,actress,acceptable
Cotton County,Meredith,actress,acceptable
Londraal,Tiffany,actress,acceptable
Belfast,"Gill, Molly",actress,unacceptable
Afghanistan,Maryam Bibi,actress,acceptable
North Georgia,John Smith,actor,acceptable
Spain,John Brown,actor,acceptable
Bexar County,Jane,actress,acceptable
Seattle,John Smith,actor,acceptable
Palo Alto,Alex,actor,acceptable
Belfast,William John,actor,acceptable
Alameda County,John T. Smith,actor,acceptable
Dalmani,Pip,actor,unacceptable
Bristol,John Smith,actor,acceptable
California,Mark Pritchard,actor,acceptable
Boulder,Faye,actress,acceptable
King County,Sandra Dukes,actress,acceptable
New York City,Rory,actor,acceptable
Fulford County,Mollie,actress,acceptable
Lisbon,Joan,actress,acceptable
Germany,Boris Schick,actor,acceptable
Fulford County,Mary Jane Jones,actress,acceptable
Afghanistan,Bashir,actor,acceptable
New York City,Amber,actress,acceptable
"Taos, NM",George William Miller III,actor,acceptable
Kathmandu,Kathleen,actress,acceptable
King,Mary-Jane,actress,acceptable
Bexar County,Kathy Smith,actress,acceptable
Mack,Meredith Grace Jones,actress,acceptable
King,John,actor,acceptable
"Taos, NM",Carol,actress,acceptable
Denmark,Evelyn,actress,acceptable
Spain,Maria,actress,acceptable
Majuro,Rafael,actor,acceptable
Northwest Territories,Jack Taggart,actor,acceptable
Belfast,Gilly,actress,acceptable
Alameda County,Liz,actress,acceptable
Denmark,Ranulph,actress,acceptable
North Georgia,Tom,actor,acceptable
Kathmandu,Cory,actor,acceptable
Ireland,Molly,actress,acceptable
Bristol,Natalie,actress,acceptable
Kerala,Vipin Kumar,actor,acceptable
Mack,Maeve,actress,acceptable
Seattle,Benjamin,actor,acceptable
Bristol,Kathy,actress,acceptable
North Queensland,Jade,actress,acceptable
Pensacola,Teddy Bear,actor,unacceptable
Gotham,Batman,actor,unacceptable
New York City,Aubrie,actress,acceptable
San Francisco,The Captain,actor,unacceptable
Fayette County,Jill T,actress,unacceptable
Bexar County,Carol,actress,acceptable
New York,John Smith,actor,acceptable
Bran,The Lady Stark,actress,unacceptable
Lisbon,Jose,actor,acceptable
Gotham,Batman,actor,unacceptable
Kerala,Praveen,actor,acceptable
Gotham,Dick Grayson,actor,acceptable
California,Mark Smith,actor,acceptable
Afghanistan,Sarah,actress,acceptable
Mendouville,Katarina,actress,acceptable
Washoe County,Ezri Miller,actor,acceptable
South Sudan,Rita,actress,acceptable
Cotton County,Tessa,actress,acceptable
Washoe County,Tia Oke,actress,acceptable
North Queensland,Joe Smith,actor,acceptable
North,Duke,actor,acceptable
Bran,Catelyn,actress,acceptable
Alameda County,John Smith,actor,acceptable
Bexar County,J. Michael Hill,actor,unacceptable
North Queensland,Polly,actress,acceptable
Seattle,Michael Scott Adams,actor,acceptable
Seattle,Kellie,actress,acceptable
Yukon,Erik,actor,acceptable
Bexar County,Juanito Garcia,actor,acceptable
San Francisco,David Pines,actor,acceptable
New York City,John Smith,actor,acceptable
Northwest Territories,James T. Allen,actor,acceptable
Bexar County,Juan Carlos Garcia,actor,acceptable
Washoe County,George W. Wilson,actor,acceptable
North,Jaeger,actor,acceptable
Majuro,Tori-chan,actress,acceptable
New York,Robert Jones,actor,acceptable
Bran,Lady Arya,actress,acceptable
Bran,Odd,actor,unacceptable
New York City,Mary Jane Watson,actress,acceptable
King,Josiah,actor,acceptable
San Francisco,David Lassen,actor,acceptable
"Taos, NM",Mike Noland,actor,acceptable
Pensacola,Carrie Brown,actress,acceptable
Fayette County,Sherry,actress,acceptable
"Taos, NM",Theresa,actress,acceptable
Detroit,Tanya Latta,actress,acceptable
Northwest Territories,Sally,actress,acceptable
Alameda County,Maggie,actress,acceptable
Kathmandu,The Chief,actor,unacceptable
Ireland,William,actor,acceptable
California,Alicia,actress,acceptable
Lisbon,Luiz Gomes,actress,acceptable
North Georgia,Tom Ruggles,actor,acceptable
Londraal,Fereldan,actor,acceptable
Mack,Jack,actor,acceptable
Alameda County,Krystal White,actress,acceptable
Fayette County,Karen,actress,acceptable
Denmark,David Petersen,actor,acceptable
Palo Alto,James T,actor,unacceptable
Seattle,Aisha,actress,acceptable
"Taos, NM",Hank Johnson,actor,acceptable
Mendouville,Tom,actor,acceptable
United Arab Emirates,Katherine,actress,acceptable
Ireland,Joe,actor,acceptable
Bexar County,Elena Rodriguez,actress,acceptable
Boulder,James T. Kirk,actor,acceptable
Gotham,Jason Todd,actor,acceptable
Pensacola,Carrie Fisher,actress,acceptable
Washoe County,Penny,actress,acceptable
Kathmandu,Shantu,actress,acceptable
Gotham,Katie Penny,actress,acceptable
United Arab Emirates,Yemen,actor,acceptable
New York,Samantha,actress,acceptable
Afghanistan,Karen,actress,acceptable
Boulder,Amber,actress,acceptable
Washoe County,Dori,actress,acceptable
Bristol,Alyssa,actress,acceptable
Ireland,The White Queen,actress,unacceptable
Mendouville,Shannon Cason,actress,acceptable
Dalmani,Bertram,actor,acceptable
Majuro,Sue,actress,acceptable
United Arab Emirates,J. Michael Jones,actor,unacceptable
Ireland,Samuel,actor,acceptable
New York City,Anna Jones,actress,acceptable
Bran,Gendry,actor,acceptable
North Georgia,Jorge Garcia,actor,acceptable
Dalmani,Auntie,actress,unacceptable
Spain,Vinicius,actor,acceptable
King County,Tiffany,actress,acceptable
Kerala,Kajalika,actress,acceptable
Belfast,Theodore Roosevelt,actor,acceptable
New York City,Tom Ferebee,actor,acceptable
Pensacola,Aubree,actress,acceptable
Majuro,Jibaro,actor,acceptable
Ireland,Eoin McNeill,actor,acceptable
San Francisco,Hilda,actress,acceptable
North,Johann,actor,acceptable
Fayette County,Polly,actress,acceptable
Fayette County,Dolly,actress,acceptable
Rome,Viridiana,actress,acceptable
Mendouville,Tom Brown,actor,acceptable
North Queensland,James Wilson,actor,acceptable
Yukon,Jude Bell,actor,acceptable
Alameda County,Sarah,actress,acceptable
Detroit,Beverly,actress,acceptable
Mack,Trevor Knight,actor,acceptable
Afghanistan,Ramiro Sanchez,actor,acceptable
Washoe County,Samantha,actress,acceptable
"Taos, NM","John Smith, Jr",actor,unacceptable
King,Hilda,actress,acceptable
"Taos, NM",Tasha,actress,acceptable
Germany,Catherine,actress,acceptable
Rome,Pius XII,actor,acceptable
Kathmandu,Nita,actress,acceptable
Pensacola,Ella,actress,acceptable
Detroit,David Smith,actor,acceptable
Pensacola,Michael Jordan,actor,acceptable
Palo Alto,Alex Smith,actor,acceptable
King County,Jane,actress,acceptable
King County,Toby,actor,acceptable
Afghanistan,Fiona,actress,acceptable
Bristol,Johnathan,actor,acceptable
"Taos, NM",James B. Jones,actor,acceptable
Kerala,Mihile,actress,acceptable
North Georgia,Jack,actor,acceptable
Gotham,Doreen Green,actress,acceptable
Mack,David Babb,actor,acceptable
Palo Alto,Alice,actress,acceptable
Belfast,Eileen,actress,acceptable
King County,Cecily,actress,acceptable
"Taos, NM",Holly,actress,acceptable
Londraal,Londraar,actress,acceptable
King County,Penny's daughter,actress,unacceptable
Fayette County,Trevor Adams,actor,acceptable
New York,Jill,actress,acceptable
Alameda County,Minnie,actress,acceptable
Boulder,John Smith,actor,acceptable
King County,Jack,actor,acceptable
Seattle,Cherry,actress,acceptable
California,Mary Smith,actress,acceptable
Washoe County,Benjamin,actor,acceptable
Spain,Diana Sanchez,actress,acceptable
Palo Alto,Jane,actress,acceptable
Spain,Ivan,actor,acceptable
Cotton County,Sophia,actress,acceptable
Denmark,Fæll,actor,acceptable
New York City,Michael Peltz,actor,acceptable
South Sudan,Zelena,actress,acceptable
King,Michael Alder,actor,acceptable
