genre,theme,location,actor,actress,story,ending
haunt,"A man is on his way to the cemetery, and he sees a man walking the cemetery.",Afghanistan,Ramiro Sanchez,Kali,"Ramiro was a young man in a small town in Afghanistan. He was a soldier, and had recently joined the Afghan National Army. On a normal day, he would have walked to the airport. But this day, his plane had crashed. He had died. His mother was alone. She had come to the U.S. with the hopes that Ramiros would be sent to Iraq. Now she was on her own.","The cemetery is full of soldiers. There is a man in one corner of the cemetery. He wears a brown shirt, has a beard, and a beard that looks like it has come straight from the grave."
science-fiction,The only way to defeat the enemy is to become the enemy.,Alameda County,Sam Smith,Cheryl,"A young man and a young woman are brought together by a mysterious force. The young man, Sam Smith, becomes obsessed with the woman, Cheryl Corley, and he soon finds that he must fight the forces that hold her captive to save his life and hers.
Awards/Recognition
Winner of the 2010 Audie Award for Science Fiction, and a 2011 Hugo Award for Best Dramatic Presentation. The 2011 Locus Award for Outstanding Dramatic Work in Science Fiction.",The future is no place for Sam Smith. The past is no longer an escape. This is the end of the line.
cthulhu,It can't be done,Mendouville,Tom Brown,Fanny,"After a terrifying encounter with the legendary creature known as 'The Thing', Tom Brown (Ben Affleck) is forced to make his way into the mysterious world of the Deep Ones to stop the spread of a plague. There, he meets Fanny (Zoe Saldana), a human who has been cursed with the ability to transform into a monstrous version of herself. With only the help of her best friend (Hugh Jackman)","He is an alien, and the world is an endless ocean"
scifi,It is the way of the universe. One cannot be a man and a god.,Ireland,David,The White Queen,"David is a human. One of the few who can wield the powers of God. But his godly powers are a secret, and those that know about them fear him. David and Queen are a married couple. David is not the ideal husband. A few people in Ireland know that David is a god, but most are afraid. David's wife is in hiding. She has been taken to the United States with their son. She refuses to tell David her secret and David is furious.","It was a cold, dark winter's night. The Queen was sleeping on David's shoulder, their son in his cradle. When he woke up and saw her, he said, "
thrillers,The only person who could have stopped him was the girl with the blue dress.,Fayette County,Randy Jones,Polly,"A young man and a young woman are living in the small rural town of Pikesville, Indiana. One night while sleeping, they see a mysterious, blue-eyed man with a white beard appear in their bedroom window. Randy Jones is a young man who has been in and out of jail for burglary charges. Polly Jones is Polly's younger sister, a woman of great faith. They decide that if Randy Jones can stop the man, they can stop themselves.","The girl in the blue-dress had no idea how she had ended up in this situation. She was scared and confused, and she had no desire to be the one to kill him. She had just fallen in love with the man."
dark fantasy,The Lord of the Rings,Bran,Odd,Lady Arya,"When Odd and Lord Baelor (the former King Robert Baratheon's bastard son) meet, it is a love that will change the face of the Seven Kingdoms. Lady Aryaaaa, a noble and beautiful noblewoman from the Vale of Arryn, and the bastard son of King Robert, is not sure she can trust a Stark, so she arranges to meet her future husband, Lord Brienne of Tarth, one of the knights of the Kingsguard.","It had taken him only a short time to make up his mind to be rid of her, or he would never speak to her again."
dying earth,The only way to save the Earth from extinction is to stop the Earth's population from exploding.,Yukon,Michael Jackson,Tanya Smith,"Michael and Tanyas Smith die from cancer, leaving Michael a bitter, vengeful man who blames himself for their death. With no one to turn to, he sets out to kill all the world's humans. He encounters a man named Peter O'Toole, a journalist who lives in a house with his pregnant wife and two young children.","In the end, it's all about Tanya. It's all a lie."
science fiction,"If it ain't broke, don't fix it.",Gotham,Batman,Candy's Cat,"Batman and Candy Cane's Cat were having a fun evening together when the Cat got hit by a truck, and was left with a nasty bruise on her head. It was then that Batman realized that the Cat's bruise was the result of a punch. With his mind made up, Batman decided to visit the Cat at the hospital and ask for the Cat to come with him to Gotham.","A new day, dawns on the streets of Gotham City."
the dark forest,"When the sun goes down, there is only one thing that can be done. Kill the sun.",Belfast,Patrick John McGovern,Gilly,"The day of the funeral, Patrick John and his son Gilly were out on the streets of Ballymoney, trying to catch up with the other mourners and make them laugh. On the way, they were confronted by a man who was selling candles on the side of the road. The two men had never met, but Patrick was quick to recognize the man as his old friend. The man was named Michael, the son of the woman Patrick killed, and his wife.",A man is the shadow of his past. A man is only a man because of all he has lost.
dystopian,"A man, born to a noble family, becomes an outcast and a vagrant in an underground city.",New York,Benjamin Franklin,Jill,"The Underground City of New York is the most dangerous place in the world and the only place where Benjamin Franklin can meet the girl of his dreams. The pair form an unlikely friendship and Franklin learns to become the architect of the city he dreamed of but never achieved, while Jill becomes an underground worker, trying to help Franklin with his experiments. But in the long run they must learn to work together if the city is to survive.","A Man, Born to a Noble Family, Becomes an Outcast and A Vagrant in the Underground City"
literary fiction,Let's put this away. Let's go home.,Boulder,Jack,Jenny L,"It was a beautiful spring day, as was the weather, and all three of them were happy. Jack looked out the window and saw a beautiful, warm day. A beautiful day for a picnic. ""They both looked out to see the mountain, and Jack saw his mother's house, and Jenny saw her father's house. It was like looking out on a day at the beach, only there was no sand and there were no waves."" ""They looked at each other, and they knew.",They had to go. The mountain was coming.
thrillers,They went from being the same person to not being the person they were.,Cotton County,Ralph,Jane,"As Jane got older and married, she became increasingly distant from Ralph. Their marriage wasn't a good fit, but they continued to live together in a house in Cotton, where they both worked. In the early 2000s, Jane became pregnant. Ralph's heart sank when he learned that Jane was having a baby and he became worried for his own son, David. One morning, Ralph took a bath and saw that David was gone. He was furious.","He wanted to make her feel better, but she had to take care of herself,"
the book of job,The best way to help a customer is to give them a reason to stay.,Germany,Boris Schick,Klara,"Boris Schick is a well-to-do American living a life of comfort and privilege in Germany. He has a successful career as a computer programmer, a stable marriage, and an attractive wife and two beautiful daughters. But the best way for a successful and successful person to help another person is to show them a way to succeed in their own way.",Boris Schick decided to help Klara. It wasn't long before he found out that he was the perfect match.
literary fiction,The only problem with the house was the people.,Spain,Ivan,Rosa,"They sat in the front yard, in the warm summer twilight, drinking beer and smoking cigarettes. Ivan, the father, was the one who was constantly saying, 'That's great! Let's have another one.' Rosa, the mother, had to be there, of course, for her son to do his homework and to give the boys a bath. But Ivan was so proud of his work on the house that he didn't think twice before calling Rosa in to watch him in action.",It was the day after the wedding that the first problems started.
erotica,"The man is a master at manipulating his environment, but in his case, his environment is his own body.",Germany,Karl,Klara,"It was a beautiful day. Karl and his wife Klara were walking around Munich on their way to a friend's birthday party. As they walked along, Karl thought he saw a car driving very close to them. He looked back, and sure enough, it was a car with a very familiar, sexy woman in it.","It took a few minutes, but eventually Karl and the lovely Klara got out of the car, and Klarin, too, got out to enjoy the nice day that they had been waiting for."
biblical epic,Never underestimate the power of the Bible.,North,Johann,Jenny,"Johann and Jenny, along with a gang of robbers, set out to steal the Holy Grail from the Holy Sepulcher of Jerusalem. The Grail is an item that grants the holder the power to fight the armies of the world. The thieves steal the Grail, but they end up in the hands of Jesus Christ, who grants the Holy Spirit to the thieves.","God can do all things, and through Him, all things are possible"
fantasy,The king of the gods.,Northwest Territories,Elliott,Anna. Elsa,"Elsa was a powerful woman who was the queen of the Northwest Territories. She loved her husband, Prince Andrew, and the two of them lived a wonderful life. Their son, Elliot, loved to be near the fire and the woods. Elliott loved to go for long walks with his father and play with the animals in the wild.","He wanted to be a warrior, he wanted to prove himself. But it was never his destiny to be the hero, he had to go along with his destiny."
science-fiction,A giant robot with wings is attacking the Earth. A scientist has been assigned to destroy it and save the Earth.,"Taos, NM",Jack,Hannah,"The main character Jack and his sister Hannah are students in high school in Tijuana, Mexico. While they love science fiction they can't stand the way the world is going now. Jack can see the danger that lies ahead. On a day when Jack sees the most powerful man in the world talking to the Prime Minister of the United States, Jack knows that something must be done to stop it. A giant robot is attacking Earth. An old enemy of the humans is attempting to take it over.",Jack and Hannah are forced to make a choice. The choice is to destroy the monster or destroy the Earth and humanity.
literary fiction,She said she'd never love him like that again,Boulder,John Smith,Hannah,"John Smith had come back from his latest trip to Boulder to find Hannah's room looking more like a bedroom than a home. Her bed was strewn with magazines, books, and clothes. The floor was littered with empty bottles and cigarette butts. In her window sat a poster of a young girl in her bedroom. John took the poster, opened it, and saw an empty spot on the floor. In his hand he held a red-stained glass, and he looked at the poster.","The girl was still gone. John found his voice, his anger, and his tears. He sat there, and the girl was gone. The room was quiet, still. Then the door slammed shut, and it was over."
cthulhu,A great and terrible and mysterious power is slowly and relentlessly working its way into the world.,Fayette County,Herschel Walker,Cindy,"It started when two friends, Herschel and Cindy Walker, decided to have some fun on a Saturday night. Herschel's brother had invited them to a party and as the three friends drank and gambled it came to pass that the bartender was playing a game of craps with one of the other patrons, Cindy Walker. That man was Cindy's husband, the man whose name was written in the sandstone tombstone that stood in the cemetery where Herschel died.",A Great and Terrible and Mysterious Power is Slowly and Eerily Working Its Way Into the World.
thrillers,The only person who could have stopped him was the girl with the blue dress.,Washoe County,Joe Miller,Aunt,"The girl with a blue dress is a character in a popular, if not very realistic, suspense fiction novel. She is the girlfriend of a man called ""Ricky"". ""She was the first woman to ever date Joe Miller, and it was the beginning of the end of his relationship with his Aunt. It was the end because she was the one person who couldn't be trusted. She had been a police officer, and she had seen the worst possible end to life.","But the end wasn't quite so bad. There's nothing like the feeling of being finally at peace. When Joe Miller finally went to sleep, the world was still there."
bodyscapes,A man who has spent all his money on drugs goes to prison for a long time.,Bran,Samwell Tarly,Fry's wife,"Bran II takes place on the continent of Westeros. In ""A Man who has Spent All His Money on Drugs Goes to Prison"", Samwell is back in Winterfell, as he has returned from his prison sentence, and he and his wife have a long conversation. They also learn that his son has been kidnapped by the Lannister forces and is held in a room with two guards.",A father with a son is not a happy man.
the dark forest,"When the sun goes down, there is only one thing that can be done. Kill the sun.",Lisbon,Jose,Joan,"Jose and Joan have been separated for a long time. Years ago, they fell in love and moved to Lisbon, a small but beautiful coastal city on the Iberian Peninsula. In Lisbon, the couple's love blossomed into a blossoming affair, and the two eventually decided to marry. They had the wedding they had always wanted and the wedding day was celebrated with the biggest party of the year. But something has changed in their marriage since their honeymoon.","The sun goes out, the world turns to pitch black, and a new world is born. Kill them both. Kill all of them."
scifi,It is the way of the universe. One cannot be a man and a god.,Detroit,Mike,Tanya Latta,"In the future, a city is being destroyed on a regular basis by a man-made disease called AIDS. A cure is not to be found. A mysterious figure is using his telekinetic powers to destroy the city. Mike and his wife Tanya have just had a child and are trying to get rid of the curse. To make their lives easier they are moving into the new building next door and they decide to put their child to bed while they are there.","There is a man in this house, he is a god,"
aeroplane,Aircraft are the most efficient forms of mass transport available in the 21st century,North Georgia,Drew Davis,Sandra Brown,"A young couple, Drew and Sandra, live on a small farm with their two young children in North Gwinnett. The kids go to school there and Drew and his brother run a small business selling small appliances to local homeowners. They have recently begun looking to buy a new farm. It is a nice enough place, a few acres of land with a house and a nice pasture for cattle and chickens.","The kids and their father had all but given up hope of ever finding a bigger farm, and they now faced a hard choice about the fate of their little farm."
the dark forest,The first step in the way was an unassuming forest path,Mendouville,Tom,Jasmine,"In a faraway land far away from the capital, Tom and his brother Jasmine were just beginning to explore their newly acquired talent of woodcraft. The two were sitting quietly as they enjoyed their day together. Jasmine was writing, a blank notebook resting on the table. As they watched her, Tom noticed a large, ancient tree, covered in leaves and vines, growing out of the earth, growing taller and taller as it grew, eventually reaching a height of thirty feet.","Tom and Jas' adventure has now been cut short by a mysterious force. However, they will not let this event deter them. Tom and Jasmine are determined to find out more about what has occurred and to get back to their own lives."
cthulhu,the first sign of the apocalypse was the disappearance of the last of the gods,Northwest Territories,Elliott,Sally,"Elliott and Sally's first meeting. They are on a long-overdue expedition to investigate the disappearance. When the expedition fails to find the missing god, their expedition is doomed to fail and they are forced to abandon the project. They will have to go it alone, with only their wits to keep them alive.","A new day is dawning and the sun is rising on the new, brighter, sun."
literary fiction,This was a moment of true tragedy.,Belfast,Paddy McNulty,Kitty,"Paddy McNully was the world's greatest detective. After all, he was the man who first found the secret of the mystery of Ireland"", and he was one of the first to discover that Mary Queen of Scots had a secret daughter, Mary Anne McShane. ""The two became lovers, and when Paddy died, Kitty was left without a soul, a victim of her own reckless lifestyle. It was then that she met Mary Anne, the sister of the murdered man.",Now she will be haunted by her past; the truth will slowly come out
biblical epic,"And when Jesus saw it, he was amazed; he fell on his face, and worshiped.",Boulder,Jack,Amber,"It's been a year since Jack and his family have been living in the same house. He has fallen in love with his step-sister Amber, who has had a crush on him since they were babies. When his brother, Ben, arrives to stay with the family, Ben is surprised to see Amber. He tries to seduce her but Jack catches on and stops him, telling Ben that Amber is too nice and sweet.","Jack is a very different person in this novel, as are the characters, so the end will not be like any of the others in the series, which makes it more challenging to write, but it is also an exciting way to end the book."
aeroplane,They can land a plane safely.,King,Josiah,Mary-Jane,"A King with a heart – Josiah tries to get the plane safely to the ground but Mary- Jane and the other passengers try to stop him.


The pilot has a difficult time landing the plane and has to abandon it. Josiah gets a job as a pilot.

The plane lands.

, the pilot's mother dies.

 of the plane crashing on purpose (that's a nice touch).","And in the windy weather, he took it down and got it to land."
scifi,It's just a few minutes of space travel. They've never had to deal with this before.,New York,Buck,Pamela,"The two of them, who were very much in love with each other, were on their way to New York City. They had to leave their little town in order to meet up with their friends at a party on the other side of the planet. They were planning to travel there with the goal of meeting up with the man she had been dating, Buck Adams, to begin a new life.","She didn't want to leave, not even for a minute. She had spent her whole life waiting to see this man, to be able to share his first kiss with her."
fantasy,The world is in the hands of a madman.,Afghanistan,Bashir,Poona,"Poona and Bashir return to the village of Khairkum to visit their father, who has been arrested by the Taliban for not being an Afghan Muslim. When Bashir learns of his father's arrest and that the government has no intention of freeing him, he returns to the camp and begins the preparations for a rescue mission. But in order to avoid being arrested for spying, he takes the opportunity to take a photograph of the Taliban commander.","It's a small thing, but it's a step forward."
the great american novel,The American Dream is dead.,Bexar County,J. Michael Hill,Jasmine,"Jasmine and J.Michael are two best friends from middle school who both grew up in the San Antonio, Texas area and are trying to find a good career path. They both believe they want to be actors and are working towards that goal. However, Jasmine's brother (Ryan) is more interested in a career as a veterinarian, and J-Michael is interested in becoming a doctor. Their lives collide when Jasmine receives an invitation to audition for a small local play.","It's a long way from the United States, Jas."
fiction,The first time she saw her was the second time she heard it. ,Germany,Boris Schick,Catherine,"On the eve of her nineteenth birthday, Catherine, who was on summer vacation in Germany, was walking along the river Wartburg with her mother and stepfather, when they stopped in the town of Düsseldorf. While Catherine was looking through the windows of their hotel, the window on her left caught her eye.","She looked up, her eyes bright with excitement, and saw her mother standing beside her. She ran up to her, and threw herself on her mother's lap, crying, "
aeroplane,The plane is not going to fly.,Northwest Territories,Elliott,Tanya,"The air force chief is a military genius. Elliott is a talented flight instructor. The two get along well and Tanya is a flight lieutenant. But the Chief and the flight lieutenant are about to find out that there is more to their friendship than meets the eye.
As of 2015, there were no more stories of the plane not going back on autopilot published in the Canadian press. This is not to say that it does not occur. The pilots are human and will make mistakes.",The Air Force Chief was about to board the plane. Elliott was there as well. He was waiting. He saw the plane take off. The plane disappeared.
fantasy,The king of the gods.,Palo Alto,Alex,Alice,"In an effort to win the heart of the princess, the king of a neighboring kingdom decided to travel to Palo Alto to marry the princess' older brother. His father, King Alex, was forced to travel with him. As the prince passed through Palo Alto, he met a strange girl, Alice.
Alex and Alice lived together in the same room. She told him stories of her own adventures with her own king and kingdom.",The King and Princess are married and live happily ever after...and all is well.
cinema,"The Doctor must leave London and take on a new companion, but the time is right.",Mack,Trevor Knight,Jane O'Brien,"The TARDIS arrives in Mack to find the streets in turmoil. It's been years since the Doctor has visited Mack and his absence has left a power vacuum. The Doctor discovers that this power vacuum is actually the cause of the chaos, a conspiracy involving two former friends, the Master and Davros, who has been causing a rift in the fabric of time and space. He needs to return to the city where he met Jane.",It's a good thing the Doctor was here.
science-fiction,The first and the last man had to die.,"Taos, NM",George William Miller III,Holly,"George William Miller has never quite figured out what to make of his father. He can't seem to shake the feeling that he doesn't really know him. George is more than just a son, his mother Holly is his mother as well. After their mother dies of illness, George's life is forever changed when he meets Holly. When she and George first get together, George finds out that she was a woman named Holly. They are both the last and the first man in a long line.",The last man to die has to pay for his sins.
science-fiction,The only way to defeat the enemy is to become the enemy.,King County,John Smith,Cecily,"It is early on the third day of a battle against an enemy that seems insurmountable. On the previous day, John Smith, Cecily Farrow and John Taggart, all under the age of sixteen, were lost to their families. Cecily's life had been saved, and the entire world hoped that she would be able to come home and make a new life for herself.","It was the last day of the war. Cecilias was still in her bedroom, the war was lost. She heard a knock, and it was John T. Smith. "
literary fiction,A young boy is thrown in a labyrinth and has to solve his own murders.,Yukon,John Smith,Tanya Smith,"As soon as John Smith was born, it was decided that he would be sent away. There was some concern about this, because the boy was a girl, but in the end it was determined that the world was full of dangerous people, so it made sense to get rid of him. At the age of seven, John disappeared from her life and was replaced by a little boy named Tanya.",The young boy had to solve the mysteries of the labyrinth in his own way.
drama,The real world is a very hard place to get things done.,Cotton County,John Smith,Sophia,"In 1826, John Smith, a black man from North Carolina, had just purchased a large farm and planned to run it as a plantation. But the land owner had a different idea and demanded that he and Sophia move to the cotton country. Smith took his wife's brother's advice and left the farm to live in the cotton town of Pemiscot. It wasn't long before he met Sophia, who was working as a maid for a prosperous cotton owner.",Sophia is a smart and tough girl. She is smart and she wants to be smart.
science-fiction,The first and the last man had to die.,Washoe County,Garry,Dori,"Garry is a former war hero who is now a private investigator, and he and his wife Dori live in Washo County. When a body is found, Garry suspects a serial killer and begins investigating. When his wife is killed, he is forced to do more than just investigate; he must confront the evil that was his wife's killer and the demons he unleashed.",It had come to this. It was over. He didn't want the monster back. He wanted the monster gone.
mystery,The Man Who Could See.,Afghanistan,Bashir,Maryam Bibi,"Maryam and Bashir were in a remote corner of Kabul on August 19th, 2001. Their two children, a two-year-old boy and a six-year old girl were on a bicycle, with Maryam holding the infant on her back. A man drove up to them. He had a pistol in his hand, but he didn't fire.",Maryam and her children were left with no choice but to get on a bus and leave the city of Kabul.
dying earth,Be careful with the dead!,Afghanistan,Samiullah,Poona,"The war in Afghanistan is about to end, and the dead are coming for Poonam. With her husband Samiulam in jail and a family on the brink of disaster, Poonai is now forced to make an extraordinary choice about her family's future. What if she goes into hiding and joins the dead, risking her life on a perilous journey to the border of a dangerous, hostile country?","Don't be afraid, don't be scared. This war is just over,"
the great american novel,"The American Dream, or the Dream of America",Yukon,Michael Jackson,Gabby,"When the U.S. government shut down, Gabby was given the choice of going home or staying and becoming a full-time teacher, but she chose to stay and become an instructor at a local high school. Her new job required her to work with Michael. However, Gabi's parents, who both hold the title of Dr."" at the school, had their own problems. They were both on trial for murdering a student.","The end is an allegory for the Ugly Truth about a person who chooses not to change for the better, a person whose true desires will always be selfish."
erotica,"The man is a master at manipulating his environment, but in his case, his environment is his own body.",Alameda County,John,Minnie,"There's a girl he's fallen for, John. She's not his type, and it has taken him a long time to get over her, but he still has a passion for her. John's always been very good at getting what he wants and getting it quickly, but his mind's always drifting and that's when the trouble starts. But when John meets Minnie, he can't stop himself. He wants to do everything he can to get closer to her.","John is a man of many dreams and aspirations, but only one is the thing that's truly important. And he's never going to let Minnie down again."
thrillers,"In a time of uncertainty, the world needs more heroes.",Washoe County,Tom Smith,Tia Oke,"Tom Smith and his son Tia are the only hope the Washoe Valley has. A young boy has his mother killed while on a mission, his father becomes the next person in the line of fire and he is the one who will stop it. Tom becomes his father's hero, as he fights to keep his son alive as the threat looms large. He will be the only one who can stop the killer.","In the end, when all hope seems lost, Tom and TIA find that they have become a family of their own."
erotica,"The man is a master at manipulating his environment, but in his case, his environment is his own body.",King,Josiah,The girl,"Josiah and the girl in his life are in a deep, deep, love triangle. Josiah wants to take a chance with The girl, but he is terrified that he might lose her in the process. After all, he's not a very good man.",The girl finds herself in a very dark and very strange place...she finds it easier to hide than to reveal herself. She has to find a way out and soon. And she will do whatever it takes to find it.
literary fiction,She said she'd never love him like that again,Kathmandu,The Chief,Shantu,"It was a cold morning. Shantu's car was running late. He'd been working all night, and had only managed to get to the office by the time the traffic police started their morning rounds. He was late again, and his car was about to be impounded by the traffic cops. He turned the ignition to the off position, and stepped out of his car. He looked out the window and saw a young woman walking down the street.","She stepped off the sidewalk, walked up to the car, and turned off the ignition,"
haunt,"A man is on his way to the cemetery, and he sees a man walking the cemetery.",King County,Toby,Bella C,"Toby and Bella's family was killed in a fire on their farm. They were buried in the cemetery at night, but they can still hear the screaming and feel the heat of the fire. Their house is destroyed, and they find themselves wandering the cemetery in search of answers to their family's fate. When they find a coffin in the graveyard, they discover the body of a man with a scar on his forehead, a wound on his side, and a bullet hole in his cheek.","The coffin opens and the man is gone. The fire is still there, but now the smoke is gone and there is no heat. He doesn't look like he was killed by the fire, but he is."
science fiction,It was just another day on the job.,San Francisco,John Smith,Ruth,"It all began with John Smith, a hard-drinking, hard-living, foul-mouthed, foulmouthing alcoholic who, after his wife left him, was fired from a high-paying job with the city of San Francisco. But, with his new found freedom, John Smith decides that he'll try to take over as the city's new police commissioner. But just as his plan begins to work, Ruth (a beautiful, intelligent woman with a strong will)","They all get up on the stage and sing. A song they all learned together. They sing a song that speaks of love, and hope, and the possibility of a new future."
aeroplane,The plane is not going to fly.,United Arab Emirates,Yemen,Katherine,"A flight from New York to Dubai takes off under the control of its captain, who is being monitored by the government. The plane lands without incident at an airport in the UAE and a group of Yemenis arrive to witness its departure. The Yemeni passengers take a seat on the plane, and the flight crew leaves. The two young Yemenis on board the plane are Katherine and Khalid al-Hariri, the daughter of President Ali Abdullah Saleh.","Katherine is an excellent student, but in her head the girl is a little like her mother,"
bodyscapes,Don't try to draw a straight line.,Detroit,David Smith,Beverly,"This was not a good day for David Smith. The two women were in a car together, driving south on the Woodward Avenue bridge, when Beverly hit a curb and was struck by a vehicle.
As Beverly was thrown from her car, she smashed her head into a building, causing a fatal brain injury to her. David, her boyfriend, drove her home, where she died.",A man was in the middle of his business on the street when David Smith came out of the darkness and grabbed him.
aeroplane,They can land a plane safely.,King County,John,Buffy Summers,"John and Buffy are married, and she has a new job as a Flight Controller in Seattle.
The couple flies out of Seattle in an old Piper Cub and is met with an ominous warning of a crash landing in a local park. Buffy and John's son is also on the plane.
They land on a local road at night. A man in a car is watching them as he runs off. The man later turns up dead.","A few years after they left, John and his son were married in a Catholic Church and he became a priest,"
the book of job,The best way to help a customer is to give them a reason to stay.,Detroit,Sam Jones,Cecilia,"Sam's boss, Cecilia, takes over the company after Sam leaves. Sam is excited to work with the new management, but the problems start immediately. Cecilia is a very strict manager who expects all her workers to comply with her every word. Her strictness gets on Sam's nerves, but Sam isn't sure what else to do.
""Cecilia's strictness is especially on Sam.","There are some things a customer doesn't want to be told, and Cecily is one of them. But Sam isn´t sure he wants Cecily to see him like that."
literary fiction,Let's put this away. Let's go home.,Lisbon,Jose,Joan,"The two men were in the library, reading the newspaper when they suddenly realized they were being followed by a man who was not one of them.
The man's face was that of a man, and it was a beautiful face.
In the library the man kept looking at the man in the blue suit and Joan and Jose stared at him.
When the man stopped looking at them, Jose and his friend looked at him, too. They saw that he was a man.","He did not go to the police. He did not call his brother.
He did go home and he did cry. The man in blue had a smile on his face."
scifi,It's just a few minutes of space travel. They've never had to deal with this before.,Germany,Boris Schick,Catherine,"Boris Schick was an artist who lived and worked in Berlin. He was in his mid-fifties. His work was extremely original and brilliant. He had a tendency to be very passionate about anything he worked on. The only thing that stood between him and a happy, successful life was his wife Catherine. He loved her and wanted to spend his life with her, but she always seemed to have the upper hand.",It was a normal day. Boris was working on an exhibition in his studio when he heard a knock on the door.
the book of job,"The key to job creation is to focus on the 'what' first,",Northwest Territories,James T. Allen,Molly,"A new company, Northwest Territories Development Company (Nydco), is in need of new management. After hiring James T, a successful young CEO from the West, the company plans to begin construction on a new project in the heart of the Northwest Territories. The project is the construction of a power plant that will provide electricity to all of the territory's rural communities. Nydco also plans to hire a new manager to run the project.","As the old saying goes, it's good to start out with a big bang."
